event,n_pa,selected_ridge,point_logloss,distribution_logloss,distribution_minus_point_logloss_improvement,point_brier,distribution_brier,distribution_minus_point_brier_improvement
k,173516,0.0,0.5315956182050933,0.5316010436656387,-5.425460545382954e-06,0.17398398864059383,0.17398607049752496,-2.081856931124282e-06
baserunner,173516,0.0,0.3055291724088711,0.30554038775015263,-1.1215341281511915e-05,0.08316743235919986,0.08316965688648034,-2.2245272804782834e-06
hr,173516,0.0,0.1343892313764852,0.13440123534424478,-1.200396775957735e-05,0.029048490486131527,0.029050685036684308,-2.1945505527809495e-06
nonhr_hit,173516,1000.0,0.48248143755784895,0.4824857305120997,-4.2929542507508245e-06,0.15233905144234308,0.15234040993427866,-1.358491935582462e-06
