event,test_year,families,family_count,feature_count,n_train,n_test,core_logloss,challenger_logloss,logloss_improvement,core_brier,challenger_brier,brier_improvement,development_selection_role
k,2023,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,4,43,330483,168896,0.5243197417310806,0.5228304476823713,0.0014892940487093442,0.17157608690876616,0.17105479291650597,0.0005212939922601967,joint_stability
k,2024,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,4,43,499379,166558,0.5236801261965742,0.5220362443723825,0.0016438818241917286,0.1712209507400556,0.17063067764605963,0.0005902730939959799,joint_stability
baserunner,2023,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,345890,178944,0.3135172736254804,0.31255481123828965,0.0009624623871907212,0.08649439822872736,0.08629472988598894,0.00019966834273842105,joint_stability
baserunner,2024,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,524834,176964,0.30310641452323217,0.30226321716250226,0.0008431973607299081,0.08273596863708357,0.08258743906505095,0.00014852957203262407,joint_stability
hr,2023,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,345890,178944,0.1400718087133476,0.13879214869223866,0.001279660021108936,0.03080317812584702,0.030723831098935072,7.934702691194881e-05,joint_stability
hr,2024,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,524834,176964,0.13353685556328942,0.13259691014089103,0.0009399454223983916,0.029021011013371123,0.02898030799668712,4.0703016684004445e-05,joint_stability
nonhr_hit,2023,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,339914,172359,0.48410654579131357,0.4829875592962491,0.001118986495064478,0.15314459809702943,0.1528021588068649,0.00034243929016453123,joint_stability
nonhr_hit,2024,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,512273,170363,0.4820895169246987,0.4812093945494269,0.0008801223752717968,0.15226143854041582,0.15199455132544545,0.00026688721497036827,joint_stability
