event,test_year,families,family_count,feature_count,n_train,n_test,core_logloss,challenger_logloss,logloss_improvement,core_brier,challenger_brier,brier_improvement
k,2023,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,4,43,330483,168896,0.5243197417310806,0.5228304476823713,0.0014892940487093442,0.17157608690876616,0.17105479291650597,0.0005212939922601967
baserunner,2023,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,339634,178112,0.3132866180957135,0.3123788562198804,0.0009077618758331352,0.08644774869512369,0.08625993600239547,0.00018781269272821755
hr,2023,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,4,43,339634,178112,0.13988038113522644,0.13871599323317335,0.0011643879020530878,0.030800656389479795,0.030730271006436525,7.038538304326991e-05
nonhr_hit,2023,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,333781,171605,0.48402284616262353,0.4829385222523642,0.0010843239102593105,0.15311908357478884,0.15278963579176633,0.0003294477830225184
