event,test_year,families,family_count,feature_count,n_train,n_test,core_logloss,challenger_logloss,logloss_improvement,core_brier,challenger_brier,brier_improvement
k,2024,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,4,43,499379,166558,0.5236801261965742,0.5220362443723825,0.0016438818241917286,0.1712209507400556,0.17063067764605963,0.0005902730939959799
baserunner,2024,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,517746,175886,0.3031976848422982,0.3024172714009522,0.0007804134413459951,0.08278962354499159,0.08265270042681379,0.000136923118177798
hr,2024,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,4,43,517746,175886,0.13340996532193475,0.13257775240448721,0.0008322129174475335,0.029034159334830972,0.028981991081873642,5.2168252957330435e-05
nonhr_hit,2024,contact_quality_expected|discipline_contact|velocity_spin_extension,3,28,505386,169352,0.4821341089639977,0.48130680881603866,0.0008273001479590647,0.15228964517517207,0.15204253971166998,0.0002471054635020953
