event,window,spec,dev_mean_logloss_improvement,dev_worst_logloss_improvement,dev_mean_brier_improvement,dev_worst_brier_improvement
baserunner,30d,handedness,0.00018047594425502078,0.0001348876726240955,3.328441608761029e-05,2.1302727328489923e-05
hr,365d,handedness,8.262149204216196e-05,7.200082129293905e-05,4.234827022402479e-06,3.833252635948581e-06
k,365d,handedness,8.72674990280986e-05,6.359017882540119e-05,2.9844253994201764e-05,2.4196818002225617e-05
nonhr_hit,season,handedness_rate_interactions,4.828053398595045e-05,4.646305830974251e-05,1.4880011607473764e-05,1.4638859785309766e-05
