event,test_year,families,family_count,feature_count,n_train,n_test,comparator_logloss,challenger_logloss,logloss_improvement,comparator_brier,challenger_brier,brier_improvement,development_selection_role
k,2023,sample_reliability,1,6,330483,168896,0.5228304476823713,0.5218817785830687,0.0009486690993025,0.1710547929165059,0.170715712103376,0.0003390808131299,joint_stability
k,2024,sample_reliability,1,6,499379,166558,0.5220362443723825,0.5214516558678968,0.0005845885044857,0.1706306776460596,0.1704269354735076,0.0002037421725519,joint_stability
baserunner,2023,cross_event_profile|sample_reliability,2,12,345414,177853,0.3123943655398098,0.3115505868811625,0.0008437786586473,0.0862426794342826,0.0860790585393935,0.000163620894889,joint_stability
baserunner,2024,cross_event_profile|sample_reliability,2,12,523267,176896,0.3021817518326328,0.3014805017770436,0.0007012500555891,0.0825576298986053,0.0824386710880634,0.0001189588105418,joint_stability
hr,2023,cross_event_profile|target_rate_history,2,8,345414,177853,0.1390765146243167,0.1389772210213868,9.92936029299285e-05,0.0308014162842941,0.0307863453375638,1.5070946730352808e-05,joint_stability
hr,2024,cross_event_profile|target_rate_history,2,8,523267,176896,0.1326361790973134,0.1325170967087862,0.0001190823885271,0.028991101343903,0.0289636229836721,2.7478360230960563e-05,joint_stability
nonhr_hit,2023,cross_event_profile|sample_reliability,2,12,339914,172359,0.4829875592962491,0.4828349354983864,0.0001526237978626,0.1528021588068649,0.1527648607413209,3.7298065543922565e-05,joint_stability
nonhr_hit,2024,cross_event_profile|sample_reliability,2,12,512273,170363,0.4812093945494269,0.4810198901544613,0.0001895043949655,0.1519945513254454,0.1519342635384918,6.0287786953661104e-05,joint_stability
