event,test_year,families,family_count,feature_count,n_train,n_test,comparator_logloss,challenger_logloss,logloss_improvement,comparator_brier,challenger_brier,brier_improvement
k,2023,cross_event_profile|sample_reliability,2,12,330483,168896,0.5228304476823713,0.5218752993007741,0.0009551483815971,0.1710547929165059,0.1707110201131265,0.0003437728033794
baserunner,2023,cross_event_profile|sample_reliability,2,12,345414,177853,0.3123943655398098,0.3115505868811625,0.0008437786586473,0.0862426794342826,0.0860790585393935,0.000163620894889
hr,2023,cross_event_profile|target_rate_history,2,8,345414,177853,0.1390765146243167,0.1389772210213868,9.92936029299285e-05,0.0308014162842941,0.0307863453375638,1.5070946730352808e-05
nonhr_hit,2023,cross_event_profile|sample_reliability|target_rate_history,3,14,339914,172359,0.4829875592962491,0.4828327655673504,0.0001547937288987,0.1528021588068649,0.152763308372613,3.8850434251891386e-05
