block_size,blocks,mean,min,max,sd_pp,expected_sd_pp,overdispersion_ratio
25,85,0.540235294117647,0.32,0.76,9.534369495707216,9.965541253017525,0.9153394380379246
50,42,0.5380952380952382,0.36,0.68,6.133626211257032,7.046701798202975,0.7576398779040536
100,21,0.5380952380952382,0.48,0.61,3.932162860552034,4.982770626508763,0.6227607065061305
250,8,0.539,0.508,0.576,2.025551071401839,3.1513808475903717,0.41312798331204315
500,4,0.539,0.532,0.546,0.6218252702059215,2.2283627674325617,0.07786906277840762
