parts,segment,n,under_pct
2,1,1073,53.86766076421249
2,2,1073,54.426840633737186
4,1,537,53.445065176908756
4,2,537,54.18994413407822
4,3,536,53.54477611940298
4,4,536,55.41044776119403
8,1,269,54.27509293680297
8,2,269,52.78810408921933
8,3,268,55.59701492537313
8,4,268,52.61194029850746
8,5,268,55.223880597014926
8,6,268,51.865671641791046
8,7,268,54.47761194029851
8,8,268,56.343283582089555
