pregame_total,inning,season,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
6.5,1,2021,37,48.64864864864865,67.56756756756756,62.16216216216216,42.001460920379834,6.6471877282688165,0.292787700699943,1.1891891891891893,73.68421052631578,36.84210526315789,
6.5,1,2022,83,57.831325301204814,84.33734939759037,67.46987951807229,56.902308027289884,0.9290172739149338,0.0545611332601473,0.8795180722891566,48.57142857142857,28.57142857142857,
7.0,1,2021,113,58.4070796460177,79.64601769911505,76.99115044247787,61.32038530816823,-2.9133056621505227,-0.17191408767887398,0.8938053097345132,59.57446808510638,31.914893617021278,
7.0,1,2022,278,57.194244604316545,76.2589928057554,74.10071942446042,56.50846229491226,0.6857823094042814,0.036790535819332955,0.8309352517985612,50.42016806722689,22.689075630252102,
7.0,1,2023,96,54.166666666666664,81.25,65.625,53.3203125,0.846354166666663,0.04565452242296213,0.9583333333333334,61.36363636363637,29.545454545454547,
7.0,1,2024,86,50.0,75.5813953488372,68.6046511627907,51.85235262303948,-1.8523526230394771,-0.09290655434719013,0.9883720930232558,60.46511627906976,27.906976744186046,
7.0,1,2025,82,68.29268292682927,87.8048780487805,76.82926829268293,67.45984533016062,0.8328375966686563,0.060321857114515216,0.4634146341463415,30.76923076923077,15.384615384615385,
7.5,1,2021,269,53.159851301115246,74.72118959107806,72.4907063197026,54.16591810505659,-1.0060668039413412,-0.05183770056510672,0.9219330855018587,51.587301587301596,23.015873015873016,
7.5,1,2022,478,51.88284518828452,77.19665271966527,67.99163179916317,52.487263878433495,-0.6044186901489779,-0.030880181952874352,0.9205020920502092,47.82608695652174,25.217391304347824,
7.5,1,2023,275,54.90909090909091,76.72727272727272,70.18181818181817,53.84859504132231,1.060495867768596,0.05486022354599999,0.8218181818181818,50.806451612903224,19.35483870967742,
7.5,1,2024,366,58.7431693989071,76.22950819672131,75.40983606557377,57.484547164740654,1.258622234166451,0.06866256870465982,0.8469945355191257,54.966887417218544,27.81456953642384,
7.5,1,2025,224,54.91071428571429,70.98214285714286,75.0,53.23660714285714,1.6741071428571508,0.08518740546199816,0.90625,47.524752475247524,25.742574257425744,
8.0,1,2021,363,47.107438016528924,72.45179063360881,65.28925619834712,47.30323520706691,-0.1957971905379885,-0.009206241986411408,1.118457300275482,53.125,30.208333333333332,
8.0,1,2022,443,56.43340857787811,77.42663656884876,72.686230248307,56.27850332995328,0.1549052479248303,0.008315835746027518,0.909706546275395,52.84974093264248,31.606217616580313,
8.0,1,2023,372,55.64516129032258,77.41935483870968,71.7741935483871,55.56711758584808,0.07804370447449527,0.004147033927050948,0.9139784946236559,52.121212121212125,27.27272727272727,
8.0,1,2024,589,53.65025466893039,71.98641765704585,72.83531409168081,52.43153340385852,1.2187212650718648,0.06101286809634435,0.9592529711375212,56.776556776556774,27.472527472527474,
8.0,1,2025,379,51.71503957783641,74.14248021108179,68.60158311345647,50.8629151843833,0.8521243934531131,0.04193291611511681,0.9868073878627969,48.63387978142077,26.775956284153008,
8.5,1,2021,526,50.950570342205324,74.33460076045627,67.87072243346007,50.45143055414998,0.4991397880553472,0.024471520548772795,1.070342205323194,59.30232558139535,30.620155038759687,
