block_games,blocks,mean_under,observed_sd,binomial_expected_sd,dispersion_ratio,min_rate,max_rate
25,85,0.540235294117647,0.09534369495707216,0.09965541253017525,0.9153394380379246,0.32,0.76
50,42,0.5380952380952382,0.06133626211257032,0.07046701798202976,0.7576398779040537,0.36,0.68
100,21,0.5380952380952382,0.03932162860552034,0.049827706265087625,0.6227607065061305,0.48,0.61
250,8,0.539,0.02025551071401839,0.03151380847590372,0.41312798331204326,0.508,0.576
500,4,0.539,0.006218252702059215,0.022283627674325616,0.07786906277840762,0.532,0.546
