pregame_total,inning,favorite_strength_bucket,mean_favorite_novig_prob,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
7.0,1,50-55%,0.5221921261378533,220,56.81818181818182,78.18181818181819,73.63636363636363,57.5702479338843,-0.7520661157024766,-0.041328061724047176,0.8590909090909091,54.736842105263165,25.263157894736842,5.914347034423034
7.0,1,55-60%,0.5738164094215192,221,56.56108597285068,75.56561085972851,74.2081447963801,56.07583792305645,0.4852480497942291,0.025812726430208384,0.8778280542986425,57.291666666666664,26.041666666666668,12.597433069992187
7.0,1,60-65%,0.6245331784667764,127,55.118110236220474,79.52755905511812,71.65354330708661,56.98431396862793,-1.8662037324074565,-0.10262358645714811,0.8818897637795275,50.877192982456144,26.31578947368421,8.306624349314802
7.5,1,50-55%,0.5230866177842145,545,54.67889908256881,73.02752293577981,72.6605504587156,53.0622001515024,1.616698931066407,0.08172994847772995,0.9761467889908257,57.08502024291497,30.76923076923077,5.366188947903163
7.5,1,55-60%,0.5741877077848376,512,55.2734375,75.5859375,73.6328125,55.65605163574219,-0.3826141357421875,-0.020214029010796643,0.81640625,46.724890829694324,20.96069868995633,4.2076131927868055
7.5,1,60-65%,0.6223500169966041,312,52.243589743589745,76.92307692307693,68.58974358974359,52.761341222879686,-0.5177514792899407,-0.026475169110682754,0.9166666666666666,51.67785234899329,22.818791946308725,8.166435866563559
7.5,1,65-70%,0.6716788657374662,182,53.2967032967033,78.02197802197803,68.68131868131869,53.586523366743144,-0.2898200700398479,-0.015090534787670957,0.8461538461538461,41.17647058823529,21.176470588235293,7.859795669496436
8.0,1,50-55%,0.5227995417342518,792,50.63131313131313,71.71717171717171,69.44444444444444,49.80359147025813,0.8277216610549976,0.039897664960351464,1.0555555555555556,56.77749360613811,29.923273657289002,2.809578473434195
8.0,1,55-60%,0.572632248584316,694,57.20461095100865,77.23342939481267,74.78386167146974,57.758141002748964,-0.5535300517403141,-0.030398104488834038,0.8429394812680115,46.801346801346796,24.915824915824917,4.963750153555992
8.0,1,60-65%,0.6233307875910687,401,51.6209476309227,73.81546134663341,67.58104738154613,49.8852619075752,1.7356857233474965,0.0843457122288665,1.0149625935162094,56.70103092783505,31.958762886597935,5.5678072302828685
8.0,1,65-70%,0.6716239238671528,186,55.376344086021504,78.49462365591397,70.43010752688173,55.28384784368136,0.09249624234014542,0.0049331754571158345,0.9516129032258065,50.602409638554214,31.32530120481928,6.505327276534303
8.5,1,50-55%,0.5224312538673268,1052,52.09125475285171,72.43346007604563,71.57794676806084,51.84638349549654,0.24487125735517257,0.012149536888982683,1.0066539923954372,56.15079365079365,29.761904761904763,2.533903553357542
8.5,1,55-60%,0.574447599467658,915,51.693989071038246,74.6448087431694,68.4153005464481,51.068470243960704,0.6255188270775425,0.030930870423888045,1.0360655737704918,54.75113122171946,28.733031674208142,2.9891819618685247
8.5,1,60-65%,0.6230576499017262,541,48.059149722735675,70.79482439926062,68.02218114602587,48.156183694875985,-0.09703397214031462,-0.004575551508216547,1.1404805914972274,58.718861209964416,33.096085409252666,5.312176477589278
8.5,1,65-70%,0.6705670558488015,259,53.66795366795367,77.60617760617761,67.18146718146718,52.13696873928534,1.530984928668333,0.0782121691955372,0.9806949806949807,60.83333333333333,28.333333333333332,8.295224684467186
9.0,1,50-55%,0.5224164428949932,665,48.421052631578945,70.67669172932331,68.7218045112782,48.570297925264285,-0.149245293685335,-0.007071115537186374,1.1263157894736842,55.97667638483965,34.40233236151604,5.407490400223406
9.0,1,55-60%,0.57272498458952,583,49.914236706689536,73.41337907375643,68.43910806174958,50.24346183607001,-0.3292251293804782,-0.01603418882027538,1.0171526586620927,53.76712328767124,26.027397260273972,5.9199242672202095
9.0,1,60-65%,0.6225784305894491,353,46.45892351274787,71.10481586402267,66.0056657223796,46.93320707172034,-0.4742835589724659,-0.022089299859141983,1.2407932011331444,60.84656084656085,31.746031746031743,6.104244489989795
9.0,1,65-70%,0.6701180590294172,182,48.35164835164835,76.92307692307693,60.98901098901099,46.914623837700766,1.4370245139475823,0.06992421925693725,1.2637362637362637,69.14893617021278,38.297872340425535,2.057614681681917
