pregame_total,inning,season,n,mean_runs,run_variance,p0_under_pct,p1_pct,p2_pct,p3plus_pct,score_pct,mean_runs_given_score,multi_run_given_score_pct,threeplus_given_score_pct,runs_from_multi_run_innings_pct,nb_p0_pct,nb_zero_residual_pp
7.0,1,2021,113,0.8938053097345132,1.7564791403286981,58.4070796460177,16.8141592920354,11.504424778761061,13.274336283185843,41.5929203539823,2.148936170212766,59.57446808510638,31.914893617021278,81.18811881188118,53.492619460064226,4.914460185953473
7.0,1,2022,278,0.8309352517985612,1.5994727683557124,57.194244604316545,21.223021582733814,11.870503597122301,9.712230215827338,42.805755395683455,1.9411764705882353,50.42016806722689,22.689075630252102,74.45887445887446,55.52475094356496,1.6694936607515865
7.0,1,2023,96,0.9583333333333334,1.7456140350877194,54.166666666666664,17.708333333333336,14.583333333333334,13.541666666666666,45.833333333333336,2.090909090909091,61.36363636363637,29.545454545454547,81.52173913043478,49.68134261713417,4.48532404953249
7.0,1,2024,86,0.9883720930232558,1.4939808481532149,50.0,19.767441860465116,16.27906976744186,13.953488372093023,50.0,1.9767441860465116,60.46511627906976,27.906976744186046,80.0,45.01283846263589,4.98716153736411
7.0,1,2025,82,0.4634146341463415,0.6467931345980126,68.29268292682927,21.951219512195124,4.878048780487805,4.878048780487805,31.707317073170728,1.4615384615384615,30.76923076923077,15.384615384615385,52.63157894736842,67.67541722033155,0.6172657064977272
7.0,2,2021,113,0.7168141592920354,1.9012326169405818,62.83185840707964,21.238938053097346,9.734513274336283,6.1946902654867255,37.16814159292036,1.9285714285714286,42.857142857142854,16.666666666666664,70.37037037037037,65.49710082834915,-2.665242421269509
7.0,2,2022,278,0.7697841726618705,1.5713580759940784,62.94964028776978,16.18705035971223,9.352517985611511,11.510791366906476,37.05035971223022,2.0776699029126213,56.310679611650485,31.06796116504854,78.97196261682242,59.006552720425454,3.9430875673443277
7.0,2,2023,96,0.5729166666666666,1.068311403508772,66.66666666666666,20.833333333333336,5.208333333333334,7.291666666666667,33.333333333333336,1.71875,37.5,21.875,63.63636363636363,66.1765942820413,0.49007238462537295
7.0,2,2024,86,0.686046511627907,1.2296853625171,62.7906976744186,18.6046511627907,10.465116279069768,8.13953488372093,37.2093023255814,1.84375,50.0,21.875,72.88135593220339,60.336740822674514,2.453956851744088
7.0,2,2025,82,0.573170731707317,0.9390243902439023,65.85365853658537,19.51219512195122,8.536585365853659,6.097560975609756,34.14634146341463,1.6785714285714286,42.857142857142854,17.857142857142858,65.95744680851064,64.19218776652826,1.6614707700571052
