pregame_total,inning,eligible_buckets,min_under_pct,max_under_pct,under_spread_pp,dependence_spread_pp
7.0,1,3,55.118110236220474,56.81818181818182,1.7000715819613461,2.3514517822016856
7.0,2,3,62.272727272727266,65.35433070866141,3.0816034359341415,0.3835362884583082
7.0,3,3,55.65610859728507,68.50393700787401,12.847828410588946,3.8274915435193457
7.0,4,3,59.84251968503938,60.909090909090914,1.0665712240515361,0.8185782809152609
7.0,5,3,44.09448818897638,61.81818181818181,17.723693629205435,3.347723596273644
7.0,6,3,52.75590551181102,59.72850678733032,6.972601275519295,2.0853395978817524
7.0,7,3,55.00000000000001,63.77952755905512,8.779527559055111,0.8724203977333533
7.0,8,3,51.96850393700787,59.3607305936073,7.3922266565994335,0.3305418759597889
7.0,9,2,50.78125,58.333333333333336,7.552083333333336,0.213886467659552
7.5,1,4,52.243589743589745,55.2734375,3.0298477564102555,2.1344504103563477
7.5,2,4,54.296875,62.08791208791209,7.791037087912088,2.677702353838751
7.5,3,4,53.2967032967033,57.247706422018354,3.9510031253150544,2.1898807623447536
7.5,4,4,51.92307692307693,58.7890625,6.865985576923073,2.057311667525885
7.5,5,4,54.12844036697248,63.18681318681318,9.058372819840706,1.8994703404043967
7.5,6,4,50.54945054945055,56.80147058823529,6.252020038784742,2.9791238523777186
7.5,7,4,50.0,56.43382352941176,6.433823529411761,2.2947862576983393
7.5,8,4,54.48717948717948,60.98901098901099,6.501831501831511,1.8097105932882274
7.5,9,3,49.48096885813148,54.794520547945204,5.313551689813721,0.6770674911598995
8.0,1,4,50.63131313131313,57.20461095100865,6.573297819695519,2.2892157750878104
8.0,2,4,56.62824207492796,59.85037406483791,3.222131989909947,2.7226219893891734
8.0,3,4,52.90404040404041,55.36159600997507,2.457555605934658,1.623040162039302
8.0,4,4,51.6209476309227,56.186868686868685,4.565921055945985,1.3640230092604178
8.0,5,4,52.65151515151515,54.83870967741935,2.1871945259042036,0.9876170146723373
8.0,6,4,52.1613832853026,57.52688172043011,5.365498435127513,2.381482393475687
8.0,7,4,55.36159600997507,58.64553314121037,3.283937131235305,0.7666695701249449
8.0,8,4,47.8494623655914,55.61097256857855,7.761510202987154,1.3969966769491082
8.0,9,3,48.635235732009924,52.27272727272727,3.637491540717349,0.827540600104143
8.5,1,4,48.059149722735675,53.66795366795367,5.608803945217993,1.6280189008086476
8.5,2,4,54.440154440154444,57.22433460076045,2.784180160606006,2.1492578261849693
8.5,3,4,49.80694980694981,53.23475046210721,3.427800655157398,2.24031750282061
8.5,4,4,51.615969581749056,55.98455598455598,4.368586402806926,3.2978006102610147
8.5,5,4,51.80327868852459,52.865064695009245,1.0617860064846525,1.3843317002216748
8.5,6,4,49.35304990757856,56.58914728682171,7.236097379243148,1.2769345834827084
8.5,7,4,49.80544747081712,57.283680175246445,7.478232704429324,2.774322783718719
8.5,8,4,53.3457249070632,57.75451950523311,4.408794598169912,1.9787098146575866
8.5,9,3,50.161812297734635,54.35203094777563,4.190218650040997,2.117607842998975
9.0,1,4,46.45892351274787,49.914236706689536,3.455313193941663,1.9113080729200482
9.0,2,4,54.58646616541354,58.24175824175825,3.6552920763447077,0.8822612655677076
9.0,3,4,47.875354107648725,54.94505494505495,7.069700837406224,1.3866974979973856
9.0,4,4,49.008498583569406,50.54945054945055,1.540951965881142,2.70764668043289
9.0,5,4,49.774436090225564,52.197802197802204,2.4233661075766406,0.46123740190892604
9.0,6,4,51.03092783505154,54.395604395604394,3.3646765605528515,1.5532691856423475
9.0,7,4,50.34364261168385,52.97450424929179,2.630861637607943,1.4330660378283455
9.0,8,4,49.171270718232044,55.59380378657487,6.422533068342823,2.1594872887706726
9.0,9,3,46.63212435233161,51.8005540166205,5.168429664288894,2.4757980819548497
9.5,1,3,44.642857142857146,48.943661971830984,4.300804828973838,0.6993742580679585
9.5,2,3,48.214285714285715,54.848484848484844,6.634199134199129,2.7306600326080845
9.5,3,3,50.0,55.15151515151515,5.151515151515149,1.675765525412709
9.5,4,3,46.36363636363636,49.404761904761905,3.0411255411255453,1.9254021978454439
9.5,5,3,44.36619718309859,52.38095238095239,8.014755197853795,3.4333431719795247
9.5,6,3,47.27272727272727,49.404761904761905,2.1320346320346317,1.9997751166582423
9.5,7,3,49.3939393939394,55.08982035928144,5.695880965342042,1.4429272732524034
9.5,8,3,51.590106007067135,53.293413173652695,1.7033071665855601,2.3711388882641904
9.5,9,2,45.67307692307692,49.39759036144578,3.7245134383688594,1.9325117179346816
