window,windows,mean,min,max,sd_pp
25,2122,0.5410367577756833,0.28,0.84,9.877352340784233
50,2097,0.5397711015736767,0.34,0.74,6.677083590219565
100,2047,0.5383781143136297,0.44,0.63,3.806933621029269
250,1897,0.5387791249341065,0.488,0.584,1.9184267097967964
500,1647,0.5388439587128112,0.522,0.566,0.8045696395689534
