pregame_total,inning,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp,clean_i1_i8,target_cell
6.5,1,149,59.06040268456376,79.86577181208054,69.79865771812081,55.74523670104949,3.3151659835142677,0.1800614651880313,0.87248322147651,59.01639344262295,29.508196721311474,15.014379716158926,True,False
7.0,1,655,57.404580152671755,78.93129770992367,72.97709923664122,57.60177145853971,-0.19719130586794975,-0.010888924004398516,0.8351145038167939,53.40501792114696,25.448028673835125,6.795154977713189,True,False
7.5,1,1612,54.59057071960298,75.62034739454094,71.7741935483871,54.275894500920515,0.31467621868246365,0.016282590172053007,0.8852357320099256,50.409836065573764,24.453551912568305,2.5856103863021507,True,False
8.0,1,2146,53.12208760484622,74.51071761416588,70.59645852749301,52.601927859022055,0.5201597458241669,0.02619734527964852,0.972972972972973,53.08151093439364,28.628230616302186,3.7262966840104537,True,False
8.5,1,2871,51.2365029606409,73.7025426680599,68.89585510275165,50.77799700363027,0.45850595701062424,0.02249785880843797,1.049808429118774,56.92857142857143,30.142857142857142,1.3331900527223388,True,False
9.0,1,1839,48.23273518216422,72.10440456769985,67.10168569874932,48.383270927972596,-0.1505357458083778,-0.00714393320465444,1.1343121261555194,57.56302521008403,31.932773109243694,2.896137188986867,True,False
9.5,1,875,46.85714285714286,70.62857142857143,66.28571428571428,46.816653061224486,0.04048979591836921,0.0018805110506335562,1.1988571428571428,57.204301075268816,32.043010752688176,4.214886956397356,True,False
10.0,1,261,45.97701149425287,69.73180076628353,67.81609195402298,47.28938212885894,-1.3123706346060637,-0.061145148340018905,1.210727969348659,57.446808510638306,33.33333333333333,5.696821593100159,True,False
10.5,1,186,41.39784946236559,69.35483870967742,63.97849462365591,44.3721817551162,-2.974332292750609,-0.1343916263852379,1.3440860215053763,63.30275229357798,30.275229357798167,11.10020611164447,True,False
11.0,1,124,43.54838709677419,61.29032258064516,70.96774193548387,43.49635796045786,0.05202913631633388,0.002353260394687099,1.2580645161290323,54.285714285714285,38.57142857142858,9.271921279283383,True,False
11.5,1,103,36.89320388349515,53.398058252427184,70.87378640776699,37.845225751720236,-0.9520218682250892,-0.042004648315917346,1.4368932038834952,61.53846153846154,38.46153846153847,8.925881013600346,True,False
6.5,2,149,61.74496644295302,81.20805369127517,74.49664429530202,60.49727489752714,1.2476915454258775,0.07327482341971325,0.7986577181208053,47.368421052631575,19.298245614035086,16.05588641717477,True,False
7.0,2,655,63.81679389312978,82.29007633587786,77.70992366412214,63.94755550375852,-0.13076161062874903,-0.008230082050865277,0.6961832061068702,48.9451476793249,24.47257383966245,1.8867076366600886,True,False
7.5,2,1612,58.06451612903226,78.287841191067,74.81389578163771,58.5701839183789,-0.5056677893466421,-0.02825497939369797,0.8275434243176178,49.112426035502956,23.816568047337277,1.8682510365540976,True,False
8.0,2,2146,57.735321528424976,76.0484622553588,75.16309412861138,57.16037726835683,0.5749442600681443,0.031179040987011703,0.8727865796831314,52.811466372657115,27.342888643880926,2.0385175638128628,True,False
8.5,2,2871,56.14768373389063,76.66318355973529,73.84186694531523,56.6095260002225,-0.46184226633186887,-0.024844184114758368,0.896551724137931,51.23113582208102,28.038125496425735,2.5375965787289934,True,False
9.0,2,1839,55.899945622621,75.69331158238172,74.49700924415443,56.38925332673354,-0.48930770411254043,-0.026171307973516,0.9042958129418162,52.15782983970407,28.113440197287296,3.2417068801566127,True,False
9.5,2,875,52.114285714285714,74.05714285714285,71.42857142857143,52.89795918367347,-0.7836734693877578,-0.03957681181303503,1.0925714285714285,59.665871121718375,33.65155131264916,3.2109149207849796,True,False
10.0,2,261,50.191570881226056,67.81609195402298,70.49808429118774,47.8090456687365,2.38252521248955,0.11182475865260269,1.1111111111111112,60.76923076923077,33.84615384615385,9.114567117357367,True,False
10.5,2,186,44.623655913978496,68.27956989247312,67.20430107526882,45.88680772343623,-1.2631518094577354,-0.057814083672862115,1.2204301075268817,60.19417475728155,34.95145631067961,11.33618097593281,True,False
11.0,2,124,47.58064516129033,73.38709677419355,68.54838709677419,50.30567117585848,-2.725026014568155,-0.1327989344914813,1.153225806451613,58.46153846153847,29.230769230769234,8.12236052166113,True,False
11.5,2,103,43.689320388349515,58.252427184466015,71.84466019417476,41.85125836553869,1.8380620228108213,0.08287239681172079,1.3980582524271845,67.24137931034483,46.55172413793103,8.766577314354587,True,False
6.5,3,149,58.38926174496645,75.83892617449665,77.85234899328859,59.04238547813162,-0.6531237331651729,-0.036744434298589555,0.8187919463087249,46.774193548387096,22.58064516129032,16.99004859317032,True,False
7.0,3,655,59.84732824427481,77.40458015267176,76.4885496183206,59.20564069692909,0.6416875473457262,0.036181965124142956,0.8183206106870229,56.65399239543726,29.65779467680608,3.6697753573049616,True,False
