pregame_total,inning,season,n,mean_runs,p0_under_pct,poisson_zero_residual_pp,nb_zero_residual_pp
7.0,1,2021,113,0.8938053097345132,58.4070796460177,17.497474658295637,4.914460185953473
7.0,1,2022,278,0.8309352517985612,57.194244604316545,13.630078495509467,1.6694936607515865
7.0,1,2023,96,0.9583333333333334,54.166666666666664,15.813509379035596,4.48532404953249
7.0,1,2024,86,0.9883720930232558,50.0,12.781792406877862,4.98716153736411
7.0,1,2025,82,0.4634146341463415,68.29268292682927,5.379511034144546,0.6172657064977272
7.0,2,2021,113,0.7168141592920354,62.83185840707964,14.001314016809003,-2.665242421269509
7.0,2,2022,278,0.7697841726618705,62.94964028776978,16.638339290373338,3.9430875673443277
7.0,2,2023,96,0.5729166666666666,66.66666666666666,10.278827405351654,0.49007238462537295
7.0,2,2024,86,0.686046511627907,62.7906976744186,12.43440075159623,2.453956851744088
7.0,2,2025,82,0.573170731707317,65.85365853658537,9.480143634208005,1.6614707700571052
7.0,3,2021,113,0.9557522123893806,55.75221238938053,17.29993309629626,5.418151307997543
7.0,3,2022,278,0.762589928057554,61.51079136690647,14.865114192381979,1.5393310761953716
7.0,3,2023,96,0.84375,61.458333333333336,18.448869269327112,5.254032821970456
7.0,3,2024,86,0.7790697674418605,62.7906976744186,16.90743428440498,7.040973788056548
7.0,3,2025,82,0.8292682926829268,54.87804878048781,11.241202427202651,2.9724475134828676
7.0,4,2021,113,0.8495575221238938,61.94690265486725,19.186493110139587,2.390803232862204
7.0,4,2022,278,0.8884892086330936,56.11510791366906,14.987444232327357,2.1983913284633005
7.0,4,2023,96,0.75,59.375,12.13834472589853,1.5045431077208127
7.0,4,2024,86,0.6627906976744186,62.7906976744186,11.249600732315034,0.4305259090950364
7.0,4,2025,82,0.5853658536585366,65.85365853658537,10.163450549195908,0.013600939206981355
7.0,5,2021,113,0.831858407079646,56.63716814159292,13.113199965473543,1.9273849309946578
7.0,5,2022,278,0.9424460431654677,55.39568345323741,16.42833240849893,3.1097682674590565
7.0,5,2023,96,0.8541666666666666,54.166666666666664,11.602892521635521,0.5416924289231351
7.0,5,2024,86,1.058139534883721,54.65116279069767,19.941064865642794,2.2696320328241315
7.0,5,2025,82,0.7926829268292683,58.536585365853654,13.273705880427384,0.1277801376457388
7.0,6,2021,113,0.8053097345132744,61.94690265486725,17.25195571070589,-2.0000193473694083
7.0,6,2022,278,0.7697841726618705,58.63309352517986,12.321792527783415,1.2240966360926198
7.0,6,2023,96,0.9166666666666666,54.166666666666664,14.181701232181926,0.8557003395673002
7.0,6,2024,86,0.9534883720930233,53.48837209302325,14.94894437274733,1.1909510231413067
7.0,6,2025,82,0.9390243902439024,53.65853658536586,14.55762442048889,2.4480497447131877
7.0,7,2021,113,0.9026548672566371,60.17699115044248,19.627820869158864,1.3650873485779758
7.0,7,2022,278,0.8812949640287769,59.352517985611506,17.927904949365082,2.5090219859371765
7.0,7,2023,96,0.9375,54.166666666666664,15.006103998986763,1.37839870832126
7.0,7,2024,86,1.0930232558139534,46.51162790697674,12.99147188575387,3.955068309469356
7.0,7,2025,82,0.7317073170731707,68.29268292682927,20.18399086582667,5.991873550481685
7.0,8,2021,109,0.9724770642201835,55.04587155963303,17.231352848498528,3.29232178222425
7.0,8,2022,278,0.8201438848920863,55.75539568345324,11.718566923073382,0.14977871465730042
7.0,8,2023,96,0.8645833333333334,48.95833333333333,6.8356306004393295,-4.196085016604495
7.0,8,2024,86,0.6511627906976745,66.27906976744185,14.135159809873022,2.1978553700362724
7.0,8,2025,82,0.9390243902439024,50.0,10.899087835123034,1.3122109532391013
7.0,9,2021,109,0.6697247706422018,67.88990825688074,16.704964817597347,0.2076929457131227
7.0,9,2022,278,0.7446043165467626,66.54676258992805,19.05454442838139,2.925036953798521
