n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,clean_i1_i8,target_cell,seasons,season_p0_sd_pp,season_nb_residual_mean_pp,season_nb_residual_sd_pp
655,0.3511450381679389,0.6471508275556179,78.93129770992367,11.908396946564885,9.16030534351145,1.6666666666666667,43.47826086956522,70.38816567458707,8.543132035336587,77.51693852949698,1.414359180426683,7.0,1,top,True,False,5,4.900625701472319,1.7944985479796791,0.8194847735153323
1612,0.40384615384615385,0.7635606169125722,75.62034739454094,14.578163771712157,9.801488833746898,1.6564885496183206,40.20356234096692,66.77468436506432,8.845663029476626,74.91680196835105,0.7035454261898888,7.5,1,top,True,False,5,2.519650089213284,0.6780808320231824,0.3889816435585665
2146,0.424044734389562,0.8205684343615378,74.51071761416588,15.191053122087606,10.298229263746506,1.663619744058501,40.40219378427788,65.43946073107821,9.071256883087674,74.12881246813727,0.381905146028616,8.0,1,top,True,False,5,2.6247459568696336,0.41954001992527523,1.0278839197124572
2871,0.47579240682688956,0.9853893980050414,73.7025426680599,14.14141414141414,12.15604319052595,1.809271523178808,46.22516556291391,62.139246569265715,11.563296098794195,72.36668178239314,1.335860885666762,8.5,1,top,True,False,5,1.176094133066434,1.418747402138596,0.2893418897367269
1839,0.5046220772158782,1.0216053930052584,72.10440456769985,14.627514953779228,13.268080478520936,1.8089668615984404,47.563352826510716,60.3733697037801,11.731034863919742,70.65154051011682,1.4528640575830254,9.0,1,top,True,False,5,1.213942249415129,1.495676942220383,1.1062393191274433
875,0.5382857142857143,1.047445570447859,70.62857142857143,15.2,14.17142857142857,1.8326848249027237,48.249027237354085,58.374810615072015,12.253760813499415,68.46506923287508,2.163502195696343,9.5,1,top,True,False,5,3.6257803085309424,2.4564908697211596,0.7870186399796931
655,0.48396946564885496,0.9381982865280015,72.97709923664122,14.198473282442748,12.82442748091603,1.7909604519774012,47.45762711864407,61.63320209233238,11.343897144308833,71.08214616744189,1.8949530691993344,7.0,1,bottom,True,False,5,5.096328994161464,2.401236953387218,1.8685307374922038
1612,0.4813895781637717,0.8531605756330932,71.7741935483871,15.694789081885856,12.531017369727046,1.7054945054945054,44.395604395604394,61.79241410530868,9.98177944307842,69.99730232876938,1.7768912196177267,7.5,1,bottom,True,False,5,3.162668316594968,1.7449055590011309,1.027265674607939
2146,0.548928238583411,1.1782575920506955,70.59645852749301,15.703634669151912,13.69990680335508,1.866877971473851,46.592709984152144,57.75684944081737,12.83960908667564,69.3698229850052,1.2266355424878084,8.0,1,bottom,True,False,5,3.2506801425058027,1.1908108361344794,1.2050127976789817
2871,0.5740160222918843,1.144258395562012,68.89585510275165,16.30094043887147,14.803204458376873,1.845464725643897,47.59238521836507,56.32588303523198,12.569972067519675,67.12536791906157,1.7704871836900837,8.5,1,bottom,True,False,5,2.764324602502064,1.7315148360413921,0.628701044503805
1839,0.6296900489396411,1.258334561114198,67.10168569874932,16.041326808047852,16.856987493202826,1.9140495867768594,51.2396694214876,53.27569039859576,13.82599530015356,64.61846740520016,2.483218293549161,9.0,1,bottom,True,False,5,3.764521491988207,2.6729233216764725,1.2735699563690668
875,0.6605714285714286,1.4922079110820532,66.28571428571428,17.37142857142857,16.34285714285714,1.959322033898305,48.47457627118644,51.65560752398102,14.630106761733263,65.20873973078862,1.0769745549256582,9.5,1,bottom,True,False,5,2.4767413535593534,1.032445444116119,0.6535938199168887
655,0.2687022900763359,0.4750892919672246,82.29007633587786,12.061068702290076,5.648854961832061,1.5172413793103448,31.896551724137932,76.43707825453335,5.8529980813445075,81.9247364901538,0.3653398457240553,7.0,2,top,True,False,5,1.9792979564163449,0.29518259046765083,1.0149723107610915
1612,0.3728287841191067,0.8273928620387441,78.287841191067,12.531017369727046,9.181141439205955,1.717142857142857,42.285714285714285,68.87831533630825,9.40952585475875,78.3672616042883,-0.07942041322130944,7.5,2,top,True,False,5,3.4313902239792498,0.32444493194498936,1.4385983954282084
2146,0.4207828518173346,0.8620200861580172,76.0484622553588,13.560111835973904,10.391425908667289,1.7568093385214008,43.3852140077821,65.65326508034227,10.395197175016547,74.99263745957124,1.0558247957875633,8.0,2,top,True,False,5,2.485771551872812,1.091487405257645,0.7393674822111082
