n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,season
113,0.21238938053097345,0.27591656131479136,83.1858407079646,13.274336283185843,3.5398230088495577,1.263157894736842,21.052631578947366,80.8649763781544,2.3208643298102016,83.04303528937315,0.1428054185914407,7.0,2,top,2021
278,0.302158273381295,0.6159520037399685,82.73381294964028,9.712230215827338,7.553956834532374,1.75,43.75,73.92210566139737,8.811707288242921,81.28384614839884,1.4499668012414424,7.0,2,top,2022
96,0.28125,0.562171052631579,81.25,14.583333333333334,4.166666666666666,1.5,22.22222222222222,75.48396019890073,5.766039801099265,82.28254374063016,-1.0325437406301652,7.0,2,top,2023
86,0.2558139534883721,0.31025991792065666,79.06976744186046,17.441860465116278,3.488372093023256,1.2222222222222223,16.666666666666664,77.42860086036836,1.6411665814920928,79.30045852302543,-0.23069108116496873,7.0,2,top,2024
82,0.23170731707317074,0.3530563083408612,84.14634146341463,9.75609756097561,6.097560975609756,1.4615384615384615,38.46153846153847,79.31782390653738,4.828517556877243,82.99996590911412,1.146375554300505,7.0,2,top,2025
269,0.37174721189591076,0.6821838761582424,77.69516728624535,12.267657992565056,10.037174721189592,1.6666666666666667,45.0,68.95285251035894,8.742314775886417,76.31856631419946,1.3766009720458938,7.5,2,top,2021
478,0.34518828451882844,0.6457944089190635,78.8702928870293,12.343096234309623,8.786610878661087,1.6336633663366336,41.584158415841586,70.8087019092116,8.06159097781769,78.01333700163642,0.8569558853928738,7.5,2,top,2022
275,0.49454545454545457,1.3238752488387524,73.0909090909091,15.272727272727273,11.636363636363637,1.837837837837838,43.24324324324324,60.98480479631875,12.106104294590347,74.7972614272682,-1.706352336359107,7.5,2,top,2023
366,0.3879781420765027,1.060019462534621,79.23497267759562,12.568306010928962,8.19672131147541,1.868421052631579,39.473684210526315,67.8427172111266,11.392255466469026,79.84158726988318,-0.6066145922875466,7.5,2,top,2024
224,0.25892857142857145,0.3810858424087123,82.58928571428571,9.821428571428571,7.5892857142857135,1.4871794871794872,43.58974358974359,77.18781552286184,5.401470191423874,80.88765098335287,1.7016347309328328,7.5,2,top,2025
363,0.3746556473829201,0.826096220872715,79.06336088154269,12.396694214876034,8.539944903581267,1.7894736842105263,40.78947368421053,68.75259894064357,10.310761940899127,78.2036130701585,0.8597478113842039,8.0,2,top,2021
443,0.3792325056433409,0.7517849299817165,78.3295711060948,11.963882618510159,9.706546275395034,1.75,44.79166666666667,68.43864704496578,9.890924061129036,76.78489422546616,1.5446768806286482,8.0,2,top,2022
372,0.521505376344086,1.177433846332203,73.38709677419355,13.709677419354838,12.903225806451612,1.9595959595959596,48.484848484848484,59.36262441020369,14.02447236398986,71.34351083533168,2.0435859388618693,8.0,2,top,2023
589,0.44482173174872663,0.876627051499717,74.19354838709677,14.261460101867574,11.544991511035652,1.7236842105263157,44.73684210526316,64.09385248385455,10.099695903242234,73.28111371824592,0.9124346688508589,8.0,2,top,2024
379,0.37730870712401055,0.6853038488922394,75.98944591029023,15.303430079155673,8.70712401055409,1.5714285714285714,36.26373626373626,68.57043593981034,7.419009970479895,75.89245418372758,0.09699172656264521,8.0,2,top,2025
526,0.3821292775665399,0.7736990765888105,77.9467680608365,12.737642585551331,9.315589353612168,1.7327586206896552,42.241379310344826,68.24068276086543,9.706085299971079,76.86925732854152,1.077510732294984,8.5,2,top,2021
506,0.4268774703557312,0.9144444879270535,75.69169960474308,14.624505928853754,9.683794466403162,1.7560975609756098,39.83739837398374,65.25435032529387,10.437349279449215,75.22216916714792,0.4695304375951559,8.5,2,top,2022
628,0.4426751592356688,0.9137740123325108,75.15923566878982,13.535031847133757,11.305732484076433,1.7820512820512822,45.51282051282051,64.23158235654618,10.927653312243635,73.97296991498482,1.1862657538050048,8.5,2,top,2023
733,0.4120054570259209,0.9365769835767376,77.08049113233287,12.824010914051842,10.095497953615281,1.7976190476190477,44.047619047619044,66.23206617412414,10.848424958208724,76.66428107007602,0.41621006225686097,8.5,2,top,2024
478,0.3807531380753138,0.798119347736463,77.61506276150628,13.807531380753138,8.577405857740587,1.7009345794392523,38.31775700934579,68.33465610470543,9.280406656800855,77.33082391559311,0.28423884591316506,8.5,2,top,2025
383,0.45691906005221933,1.0027203258923079,77.02349869451697,10.182767624020887,12.793733681462141,1.9886363636363635,55.68181818181818,63.323159172054545,13.700339522462423,74.03438321261557,2.9891154819014054,9.0,2,top,2021
268,0.44029850746268656,1.2136508468891496,78.35820895522389,10.44776119402985,11.194029850746269,2.0344827586206895,51.724137931034484,64.38442000963329,13.973788945590593,77.55585745139197,0.8023515038319107,9.0,2,top,2022
493,0.5050709939148073,1.1325961839740102,73.42799188640974,14.807302231237324,11.76470588235294,1.900763358778626,44.274809160305345,60.346273172447205,13.08171871396253,72.01565614663879,1.4123357397709424,9.0,2,top,2023
378,0.3783068783068783,0.6655228551780276,76.71957671957672,12.962962962962962,10.317460317460316,1.625,44.31818181818182,68.5020250552254,8.21755166435132,75.46764040794788,1.251936311628843,9.0,2,top,2024
317,0.4416403785488959,0.8802859082378309,74.13249211356468,15.141955835962145,10.725552050473187,1.7073170731707317,41.46341463414634,64.29808235797432,9.834409755590357,73.5870138953422,0.5454782182224727,9.0,2,top,2025
212,0.5330188679245284,1.0557766252347311,72.16981132075472,13.20754716981132,14.622641509433961,1.9152542372881356,52.54237288135594,58.6830728462595,13.486738474495219,68.9729358018951,3.19687551885961,9.5,2,top,2021
146,0.4931506849315068,1.493056211620217,78.08219178082192,11.643835616438356,10.273972602739725,2.25,46.875,61.06992389592894,17.012267884892985,76.38136719973134,1.7008245810905764,9.5,2,top,2022
278,0.579136690647482,1.4431732592265538,71.94244604316546,12.23021582733813,15.827338129496402,2.0641025641025643,56.41025641025641,56.03819407687496,15.904251966290506,70.15735707999183,1.7850889631736422,9.5,2,top,2023
110,0.42727272727272725,0.9442035029190994,77.27272727272727,10.909090909090908,11.818181818181818,1.88,52.0,65.22856318857151,12.044164084155762,75.57599317817765,1.6967340945496123,9.5,2,top,2024
129,0.4883720930232558,1.3299418604651163,74.4186046511628,14.728682170542637,10.852713178294573,1.9090909090909092,42.42424242424242,61.36245051611348,13.056154135049303,75.28257913857462,-0.8639744874118227,9.5,2,top,2025
113,0.504424778761062,1.698640960809102,75.22123893805309,15.04424778761062,9.734513274336283,2.0357142857142856,39.285714285714285,60.38528245147942,14.835956486573675,77.20586653293469,-1.984627594881605,7.0,2,bottom,2021
278,0.4676258992805755,1.0151936212762642,76.2589928057554,10.431654676258994,13.309352517985612,1.9696969696969697,56.060606060606055,62.6487849379276,13.610207867827794,73.3764952591614,2.8824975465939984,7.0,2,bottom,2022
96,0.2916666666666667,0.5666666666666667,83.33333333333334,8.333333333333332,8.333333333333332,1.75,50.0,74.70175003104326,8.63158330229008,81.42780185765653,1.9055314756768027,7.0,2,bottom,2023
86,0.43023255813953487,0.9538987688098499,76.74418604651163,12.790697674418606,10.465116279069768,1.85,45.0,65.0357831127969,11.708402933714723,75.46934511632848,1.274840930183141,7.0,2,bottom,2024
82,0.34146341463414637,0.7214694369165915,80.48780487804879,12.195121951219512,7.317073170731707,1.75,37.5,71.07294694418746,9.41485793386132,79.4911849715299,0.9966199065188808,7.0,2,bottom,2025
269,0.483271375464684,1.1013982133939968,74.72118959107806,13.754646840148698,11.524163568773234,1.911764705882353,45.588235294117645,61.67624264707855,13.044946943999513,73.25335994380586,1.4678296472722008,7.5,2,bottom,2021
