pregame_total,inning,n,mean_runs,run_variance,variance_to_mean,p0_under_pct,p1_pct,p2_pct,p3plus_pct,fair_under_american,poisson_p0_pct,poisson_zero_residual_pp,nb_p0_pct,nb_zero_residual_pp,p0_ci95_lo_pct,p0_ci95_hi_pct,clean_i1_i8,seasons,season_p0_sd_pp,season_poisson_resid_mean_pp,season_poisson_resid_sd_pp,season_nb_resid_mean_pp,season_nb_resid_sd_pp,seasons_poisson_resid_positive,seasons_poisson_resid_negative,persistent_zero_score
7.0,1,655,0.8351145038167939,1.5293461260125591,1.831301119813942,57.404580152671755,19.84732824427481,11.908396946564885,10.839694656488549,-134.76702508960574,43.382480399303994,14.022099753367767,54.454640464193496,2.9499396884782647,53.58778625954198,61.221374045801525,True,5,6.795154977713189,13.02047319477262,4.654500056728328,3.3347410280198773,2.0437446247215467,5,0,2.4798124701904944
7.0,2,655,0.6961832061068702,1.428960944977473,2.0525645152636947,63.81679389312978,18.473282442748094,8.854961832061068,8.854961832061068,-176.37130801687766,49.84842892590521,13.968364967224561,62.15009989432231,1.666693998807467,60.30534351145038,67.48091603053436,True,5,1.8867076366600857,12.566605019667646,2.8902879676042965,1.176669030500277,2.487532260259953,5,0,3.5905735214317596
7.0,3,655,0.8183206106870229,1.5862081845133882,1.938370076224383,59.84732824427481,17.404580152671755,10.839694656488549,11.908396946564885,-149.0494296577947,44.11719321528712,15.730135028987696,56.14825172467586,3.699076519598954,55.72519083969466,63.664122137404576,True,5,3.6697753573049607,15.752510653922595,2.834523283847757,4.444987301540557,2.1766924566337424,5,0,4.102240060778369
7.0,4,655,0.7938931297709924,1.6256507225062446,2.0476946600799812,59.69465648854961,19.236641221374047,12.061068702290076,9.007633587786259,-148.10606060606057,45.208135347961694,14.486521140587922,58.09490600086815,1.5997504876814617,56.18320610687023,63.358778625954194,True,5,3.6718574611989934,13.545066669975284,3.6259310321413336,1.307572903469667,1.0546702741646492,5,0,3.1315903847105435
7.0,5,655,0.9068702290076336,1.8521698531643203,2.0423758481862455,55.72519083969466,20.458015267175572,12.213740458015266,11.603053435114504,-125.86206896551727,40.3786006188356,15.346590220859063,53.725566823276026,1.999624016418633,51.7557251908397,59.541984732824424,True,5,1.7543397253264776,14.871839128335633,3.3336381930125927,1.595251559569344,1.2371662856634582,5,0,3.541271683825237
7.0,6,655,0.8427480916030534,1.7688120083105727,2.0988620750786686,57.25190839694656,21.679389312977097,10.839694656488549,10.229007633587786,-133.92857142857142,43.05257720130077,14.199331195645787,56.63195209153358,0.6199563054129831,53.43511450381679,60.91603053435114,True,5,3.7660837368200193,14.65240365278149,1.7683254358328597,0.7437556792290012,1.648951361901366,5,0,5.129213137968323
7.0,7,655,0.9022900763358779,1.9934962765833277,2.2093740459595255,58.16793893129771,17.862595419847327,11.755725190839694,12.213740458015266,-139.05109489051097,40.563964948762674,17.603973982535038,55.35380984244816,2.8141290888495596,54.50381679389314,61.832061068702295,True,5,8.042626233536893,17.147458513818247,3.07568881667918,3.039889980557491,1.9620841153176372,5,0,4.319263509641184
7.0,8,651,0.8448540706605223,1.6051234786718656,1.8998825174825171,55.29953917050692,22.887864823348693,12.288786482334869,9.523809523809524,-123.7113402061856,42.9620047806305,12.337534389876414,54.74161293230774,0.5579262381991801,51.45929339477726,58.986175115207374,True,5,6.8752474601255535,12.163959603401459,3.86501842648046,0.5512163607104859,2.8940548664230947,5,0,2.5359686867212665
7.0,9,651,0.6513056835637481,1.6397636771830317,2.5176560232220604,68.97081413210445,14.592933947772657,8.448540706605224,7.987711213517665,-222.27722772277224,52.136459497148216,16.834354634956238,67.28394482434483,1.6868693077596197,65.284178187404,72.50384024577573,False,5,4.489561825175195,15.602099774671704,3.1077068029462347,1.3726457297376227,2.1423674844431346,5,0,4.0982366664733405
7.5,1,1612,0.8852357320099256,1.6870072069657582,1.9057152190811508,54.59057071960298,22.51861042183623,11.786600496277917,11.104218362282877,-120.2185792349727,41.261689480373356,13.328881239229629,53.24446904657027,1.346101673032707,52.10918114143921,57.00992555831266,True,5,2.585610386302151,13.352374667885988,1.9476092629822943,1.3127118054138487,1.0913977310283576,5,0,4.5219294859129
7.5,2,1612,0.8275434243176178,1.786503458696647,2.158803279924284,58.06451612903226,21.339950372208435,10.607940446650124,9.987593052109181,-138.46153846153848,43.71217911999755,14.35233700903471,57.72000145070979,0.34451467832247173,55.58312655086849,60.42183622828784,True,5,1.8682510365540952,14.39764378177937,2.241542774374692,0.6616179296272406,1.2280838857626608,5,0,4.427625364839845
7.5,3,1612,0.9001240694789082,1.7845561608852292,1.9825668720516811,55.521091811414394,20.843672456575682,11.84863523573201,11.786600496277917,-124.82566248256624,40.65192199838571,14.869169813028682,53.42090208525103,2.1001897261633595,53.039702233250615,58.002481389578165,True,5,2.599259263847846,14.814041012857775,2.1293697702798053,2.2463368077531145,1.8681442226908862,5,0,4.751490205549978
