pregame_total,inning,clean_i1_i8,n,mean_runs,run_variance,p0_under_pct,p1_pct,p2_pct,p3plus_pct,score_pct,mean_runs_given_score,multi_run_given_score_pct,threeplus_given_score_pct,runs_from_multi_run_innings_pct,nb_p0_pct,nb_zero_residual_pp,seasons,season_p0_sd_pp,season_nb_zero_resid_sd_pp,season_mean_runs_given_score_sd,season_multi_run_given_score_sd_pp,seasons_nb_resid_positive,seasons_nb_resid_negative
7.0,1,True,655,0.8351145038167939,1.5293461260125591,57.404580152671755,19.84732824427481,11.908396946564885,10.839694656488549,42.595419847328245,1.960573476702509,53.40501792114696,25.448028673835125,76.23400365630712,54.454640464193496,2.9499396884782647,5,6.795154977713189,2.0437446247215467,0.27175470712585775,12.928703938967162,5,0
7.0,2,True,655,0.6961832061068702,1.428960944977473,63.81679389312978,18.473282442748094,8.854961832061068,8.854961832061068,36.18320610687022,1.9240506329113924,48.9451476793249,24.47257383966245,73.46491228070175,62.15009989432231,1.666693998807467,5,1.8867076366600857,2.487532260259953,0.1617552085176351,7.318983612951474,4,1
7.0,3,True,655,0.8183206106870229,1.5862081845133882,59.84732824427481,17.404580152671755,10.839694656488549,11.908396946564885,40.15267175572519,2.038022813688213,56.65399239543726,29.65779467680608,78.73134328358209,56.14825172467586,3.699076519598954,5,3.6697753573049607,2.1766924566337424,0.14412650584363476,7.921484655146455,5,0
7.0,4,True,655,0.7938931297709924,1.6256507225062446,59.69465648854961,19.236641221374047,12.061068702290076,9.007633587786259,40.30534351145039,1.9696969696969697,52.27272727272727,22.348484848484848,75.76923076923077,58.09490600086815,1.5997504876814617,5,3.6718574611989934,1.0546702741646492,0.20955584408105155,6.884278557172264,5,0
7.0,5,True,655,0.9068702290076336,1.8521698531643203,55.72519083969466,20.458015267175572,12.213740458015266,11.603053435114504,44.27480916030534,2.0482758620689654,53.79310344827586,26.20689655172414,77.44107744107744,53.725566823276026,1.999624016418633,5,1.7543397253264776,1.2371662856634582,0.195564803432501,5.732255950559713,5,0
7.0,6,True,655,0.8427480916030534,1.7688120083105727,57.25190839694656,21.679389312977097,10.839694656488549,10.229007633587786,42.74809160305344,1.9714285714285715,49.28571428571429,23.92857142857143,74.27536231884058,56.63195209153358,0.6199563054129831,5,3.7660837368200193,1.648951361901366,0.09420580102608671,6.051649685115568,4,1
7.0,7,True,655,0.9022900763358779,1.9934962765833277,58.16793893129771,17.862595419847327,11.755725190839694,12.213740458015266,41.83206106870229,2.156934306569343,57.299270072992705,29.1970802919708,80.20304568527919,55.35380984244816,2.8141290888495596,5,8.042626233536893,1.9620841153176372,0.12222668133055584,6.808269844976043,5,0
7.0,8,True,651,0.8448540706605223,1.6051234786718656,55.29953917050692,22.887864823348693,12.288786482334869,9.523809523809524,44.70046082949308,1.8900343642611683,48.797250859106526,21.305841924398624,72.9090909090909,54.74161293230774,0.5579262381991801,5,6.8752474601255535,2.8940548664230947,0.1697855499255376,8.211590609820705,4,1
7.0,9,False,651,0.6513056835637481,1.6397636771830317,68.97081413210445,14.592933947772657,8.448540706605224,7.987711213517665,31.02918586789555,2.099009900990099,52.97029702970298,25.742574257425744,77.59433962264151,67.28394482434483,1.6868693077596197,5,4.489561825175195,2.1423674844431346,0.20902855148194732,7.412914205256402,4,1
7.5,1,True,1612,0.8852357320099256,1.6870072069657582,54.59057071960298,22.51861042183623,11.786600496277917,11.104218362282877,45.40942928039702,1.9494535519125684,50.409836065573764,24.453551912568305,74.56201822004205,53.24446904657027,1.346101673032707,5,2.585610386302151,1.0913977310283576,0.08954265168848734,3.0504993265977176,4,1
