core_stability_rank,sample_tier,pregame_total,inning,N,min_season_n,over05,under05,over_fair_odds,under_fair_odds,annual_sd_pp,annual_range_pp,pooled_se_pp,p2021,p2022,p2023,p2024,p2025
25,CORE,8.000000,9,2143,363,0.347643,0.652357,188,-188,2.491495,5.947304,1.028829,0.319559,0.343891,0.379032,0.362245,0.325397
4,CORE,8.500000,1,2871,478,0.487635,0.512365,105,-105,1.333212,2.955975,0.932938,0.490494,0.500000,0.501592,0.472033,0.476987
23,CORE,8.500000,2,2871,478,0.438523,0.561477,128,-128,2.448829,6.250532,0.926258,0.425856,0.478261,0.452229,0.414734,0.428870
20,CORE,8.500000,3,2871,478,0.485197,0.514803,106,-106,2.269031,5.549980,0.932714,0.454373,0.509881,0.500000,0.488404,0.468619
9,CORE,8.500000,4,2871,478,0.476141,0.523859,110,-110,1.732777,4.390368,0.932109,0.484791,0.464427,0.455414,0.499318,0.470711
29,CORE,8.500000,5,2871,478,0.478927,0.521073,109,-109,2.736551,7.751013,0.932369,0.539924,0.486166,0.479299,0.442019,0.460251
16,CORE,8.500000,6,2869,478,0.477867,0.522133,109,-109,1.936747,5.094202,0.932627,0.479087,0.457426,0.483254,0.466576,0.508368
5,CORE,8.500000,7,2867,477,0.444367,0.555633,125,-125,1.514119,3.665368,0.928012,0.450570,0.462302,0.454545,0.425648,0.433962
17,CORE,8.500000,8,2862,475,0.444794,0.555206,125,-125,1.968280,5.093934,0.928947,0.438931,0.434524,0.425837,0.476776,0.437895
3,CORE,8.500000,9,2861,475,0.332052,0.667948,201,-201,1.223151,2.772199,0.880466,0.343511,0.320080,0.336523,0.338798,0.315789
26,CORE,9.000000,1,1839,268,0.517673,0.482327,-107,107,2.578158,7.437041,1.164737,0.522193,0.522388,0.533469,0.468254,0.542587
34,CORE,9.000000,2,1839,268,0.441001,0.558999,127,-127,3.226261,7.329196,1.157752,0.420366,0.388060,0.460446,0.457672,0.460568
35,CORE,9.000000,3,1839,268,0.497553,0.502447,101,-101,2.922896,6.027251,1.166002,0.503916,0.518657,0.470588,0.529101,0.476341
10,CORE,9.000000,4,1839,268,0.506253,0.493747,-103,103,1.747027,3.717061,1.165875,0.509138,0.488806,0.521298,0.484127,0.520505
7,CORE,9.000000,5,1839,268,0.487765,0.512235,105,-105,1.707571,4.307786,1.165630,0.493473,0.470149,0.480730,0.513228,0.476341
21,CORE,9.000000,6,1839,268,0.477977,0.522023,109,-109,2.768833,6.938604,1.165194,0.524804,0.488806,0.454361,0.462963,0.466877
33,CORE,9.000000,7,1836,266,0.483115,0.516885,107,-107,2.752739,8.353444,1.166344,0.492147,0.443609,0.468560,0.484127,0.526814
19,CORE,9.000000,8,1833,266,0.465903,0.534097,115,-115,2.220292,5.953214,1.165122,0.473684,0.496241,0.470588,0.455026,0.436709
12,CORE,9.000000,9,1830,266,0.361749,0.638251,176,-176,1.823266,4.080607,1.123153,0.378307,0.342105,0.346856,0.360743,0.382911
44,CORE,9.500000,1,875,110,0.531429,0.468571,-113,113,3.911295,9.033610,1.686823,0.490566,0.547945,0.564748,0.472727,0.558140
