pregame_total,inning,n,under_pct,season_sd_pp,autocorr_lag1,autocorr_lag5,drift_pp_per_1000,od25,od50,od100,od250,od500,sd100_pp,range100_pp,sd250_pp,range250_pp,stationarity_score,core_n2000,usable_n500
8.5,1,2871,51.2365029606409,1.3331900527223388,0.0028911564625852568,-0.007596619968162633,0.7640266536228103,0.995932795923802,1.1148171335581356,1.1840045318331278,0.8211567450713806,0.7508592073419456,5.438934691831719,23.0,2.8647068706144196,10.400000000000004,0.27286994768632283,True,True
8.0,7,2144,56.809701492537314,1.7168321539983458,-0.0070305539480969605,0.009245898134787095,1.2946811095591155,1.174137399375231,1.1835800216602639,1.0121067122511964,0.894011422815941,0.39329515865331516,4.983305462575349,24.0,2.9621420820557716,9.599999999999998,0.2929170121325974,True,True
8.5,3,2871,51.48032044583769,2.2689559712548735,-0.014151035104910404,-0.005832657427649016,-0.1292055428041735,1.0055079781838325,0.9723309832060674,0.9343110239621519,1.584807327960118,1.0985629337485827,4.830869651243097,20.0,3.979218744701254,13.199999999999996,0.3272288090185493,True,True
8.5,8,2862,55.52061495457722,1.9682616820235885,-0.007671439963116957,-0.005495140552477491,-0.8108002595464853,0.802353979602716,0.7426373597094867,0.6459166172949067,1.018378562932234,0.7345548671468256,3.993877589643703,14.000000000000002,3.1716929806707888,9.599999999999998,0.3458641760702793,True,True
8.5,2,2871,56.14768373389063,2.5375965787289934,0.008075438469339861,-0.001853634562546808,1.4812999671884763,0.9891123022257052,0.867398706273357,0.6027094070160277,0.9815292821708499,1.4686017426883722,3.8522651894628277,16.000000000000004,3.1091653366955376,8.799999999999997,0.37685562759977587,True,True
8.5,7,2867,55.56330659225671,1.514098511165997,-0.011917318945958212,-0.020605982669251816,1.5065532024313057,0.7798329947891907,0.947266146081465,0.766312461653558,0.8860236530396327,1.1640106286234586,4.349785617778755,20.0,2.9581320887589597,9.599999999999998,0.4055257760557919,True,True
8.0,2,2146,57.735321528424976,2.0385175638128628,-0.0070207227576178045,0.010150700023608466,-0.8531614782518151,0.7667204973593346,0.6069543026167366,0.6541322437046998,0.9589516245718658,0.795028269944194,3.9952352573915793,15.000000000000002,3.05941170815567,9.999999999999998,0.41085913805299523,True,True
8.0,9,2143,65.2356509566029,2.4915231549651544,0.00047864436439114705,0.005040458461347127,-0.1815555482331413,1.1221403370945984,1.238169657349218,1.588019034039862,1.365658574295289,0.8642451863160235,6.0011903581111055,23.0,3.5197402501564565,10.399999999999999,0.4329525739241009,True,True
8.0,6,2145,54.07925407925408,3.2169276458611,-0.0020113400743696154,0.00376994376506422,-0.24549111013343738,1.0032040628259002,1.1294223387762246,1.375057316021104,1.6771634102047954,1.596627352091723,5.843596413820776,20.0,4.08166632639171,12.799999999999995,0.4397966643477591,True,True
8.5,6,2869,52.21331474381318,1.936741177420092,-0.015907818554687966,-0.020193723357098726,-1.4084827890776568,0.8607831223137362,0.9439549474670338,0.8767974539534393,0.6260995724290432,0.33104869152061783,4.677283840754602,18.0,2.499745441585457,7.9999999999999964,0.4653512171359962,True,True
8.0,1,2146,53.12208760484622,3.7262966840104537,-0.004385708445601372,0.00034952661555942354,1.1848217042313014,1.1105709819709682,0.873463682805261,0.947312593279089,1.9823003629849956,3.5411401410251906,4.857002799101128,18.0,4.44361500196791,13.599999999999996,0.5286339881313638,True,True
8.5,4,2871,52.385928247997214,1.7327665072886296,0.017273029275382257,0.004638161668005461,-0.8110842453505618,1.0420747779377122,1.2622727688917248,1.1707081023217702,1.7558527300035798,0.7352742646772725,5.403800348001228,21.999999999999996,4.1855161515093275,14.799999999999997,0.5776659229883421,True,True
8.5,9,2861,66.79482698357218,1.223158121038509,-0.021913507236403708,0.018944345654002676,0.5585399266194502,1.1341682196195635,1.2966752510873152,1.237805378576682,1.8008571050803817,0.9675672073590548,5.239628202812076,20.999999999999996,3.9970898504696213,13.200000000000001,0.6673671440540978,True,True
8.0,8,2144,54.24440298507462,1.5235110461735566,-0.014315280117842909,0.018687276739832042,0.9025509004615015,0.9727462875780807,1.147034383302328,1.6342525863076796,1.613627773789708,1.995042911331343,6.368822870978966,21.000000000000004,4.002499219237899,12.4,0.6828649019880993,True,True
8.0,5,2146,52.79589934762349,3.2753281204316127,-0.011089638058326301,-0.011896217926949315,1.4521290399420295,1.0948294986226275,1.1071086530623653,1.3466870401503848,1.88675669380888,1.328821654473024,5.7932637400609295,21.999999999999996,4.336884991393181,14.000000000000002,0.6832005437405592,True,True
8.0,3,2146,54.14725069897484,0.8604198866136697,0.041417797882054116,-0.002649063646060376,0.7099459422669059,0.9153394380379246,0.7576398779040536,0.6227607065061305,0.41312798331204315,0.07786906277840762,3.932162860552034,13.0,2.025551071401839,6.799999999999995,0.6881879186677332,True,True
8.0,4,2146,54.007455731593666,1.919542647033632,0.02207698110037496,-0.02765037677815099,-2.341534551675417,1.2209750505725516,1.4293445402549623,1.2211780351937862,0.7591624834171719,0.6280344180996595,5.507570547286102,22.000000000000004,2.7464262493023783,7.599999999999996,0.7246095216810617,True,True
8.5,5,2871,52.10727969348659,3.69128274899672,0.021955039610553465,0.019857378947019527,3.0238559374018807,1.3247813386668128,1.3251106214064572,1.1894142857142853,1.261294921925133,1.8809410235294122,5.448168470462314,19.0,3.5483158617216493,11.599999999999994,0.7303395383159725,True,True
9.0,5,1839,51.22349102773246,1.707646184919833,0.008110850664776372,-0.025672146167621517,-0.38299816909510725,0.9139719184356196,1.0268370636256263,1.2500295285799965,0.724243180432602,0.41624923843810663,5.58856208194835,23.000000000000004,2.6903708365381975,8.000000000000002,0.3400783126605974,False,True
9.0,1,1839,48.23273518216422,2.896137188986867,-0.009967937345018257,0.03029299834161897,0.8138469910544875,0.9790008337043953,0.9268722178837714,1.2486187103663005,0.8055778288767595,0.8036706843955161,5.5835894000396635,21.999999999999996,2.8364968333693388,8.800000000000002,0.39415960205732015,False,True
9.0,4,1839,49.374660141381185,1.7470184081237266,-0.00886279892340689,-0.05029874173419493,-0.23404371743695956,1.171324771103427,0.7424018407634658,0.6553966347726199,0.975390665822157,0.2987133914080361,4.047511944537838,14.999999999999996,3.1228802334353065,7.600000000000001,0.427551544443901,False,True
7.5,8,1609,56.86761963952765,3.8005235422588255,0.007369851051347289,0.013869369234227524,2.107594120238743,0.9985203040172098,0.96662309864564,0.7800494973832429,0.826254519876326,0.5327167299202605,4.3741665872864655,15.000000000000002,2.847220867208347,7.9999999999999964,0.43157440301489036,False,True
9.0,7,1836,51.688453159041394,3.067874129301834,0.009186336098114407,-0.02465900364695369,-2.620374273285784,1.2117318740954954,1.0726517694749846,0.9528512894959746,1.091530440617743,0.11479757603981187,4.877921447405527,20.999999999999996,3.3019474773014075,10.799999999999994,0.4523897589589292,False,True
9.0,9,1830,63.82513661202186,1.8232889815465916,-0.004466043562058327,0.02297543730299936,-1.1764081661308352,0.8442739458154916,0.7740350321625151,0.7401139031844993,0.7103055291147616,0.7478420001655437,4.133791878423205,17.999999999999993,2.5612496949731387,7.199999999999996,0.46741252484511453,False,True
9.5,8,871,51.77956371986223,3.2792905258934404,0.003333606735573329,-0.04273848852906452,-1.2730497368364884,1.4211228295927656,1.0436750048134553,1.3931933835618497,0.6621721324745727,,5.897941529526575,15.999999999999998,2.571640202931457,4.800000000000004,0.5304205582489532,False,True
7.5,2,1612,58.06451612903226,1.8682510365540976,-0.030142450142450265,-0.011559370529327428,-0.9634144770394023,0.8656545499253833,0.9723103632478635,0.8513132122507117,0.4298490028490023,0.8241054131054102,4.552929459882576,16.999999999999993,2.046134567096373,5.999999999999995,0.5305742838883147,False,True
7.5,4,1612,55.955334987593055,2.511547089395388,0.03659550957866256,-0.012739294534298751,-1.0075315836299368,1.2958034283553006,0.9658797820180507,0.8302786702476498,1.4244748450496016,1.2118585844706038,4.5235494912734175,15.000000000000002,3.747354622485928,10.399999999999999,0.5313873874538364,False,True
9.0,6,1839,52.20228384991843,2.830119798449061,0.0067764397788321025,-0.01506351248707344,2.8382383211027324,1.1176019619703275,1.2796253580570454,1.1987962789851443,0.8488849504306842,1.4134087101820276,5.469164900227673,24.000000000000004,2.910735465888467,7.9999999999999964,0.5727421306694892,False,True
9.0,8,1833,53.40971085651937,2.22034427161321,0.0030006603692124107,-0.006972349947740488,2.5425600072414554,0.9788595969794481,1.057616808105717,0.5368757997011494,0.6315082267941263,0.11520240985759517,3.6550618495701284,15.000000000000002,2.507132682112037,7.200000000000006,0.5865872796169095,False,True
7.0,8,651,55.29953917050692,6.8752474601255535,0.022509578544061208,0.0009889615003754102,0.643725955422015,1.1222691620407084,0.9626088642171116,1.321512600229095,0.07281804123711352,,5.715476066494082,15.000000000000002,0.8485281374238578,1.200000000000001,0.6085826043552571,False,True
7.5,9,1607,65.6502800248911,0.9774492087829965,0.011790831339548297,0.032744346704675194,0.628916581626572,1.101530848735223,1.2916243161515764,1.123210404718159,0.24123433202829905,0.00886890926574629,5.032809023464599,20.000000000000007,1.4751271131668633,4.400000000000004,0.6112789845882364,False,True
7.5,1,1612,54.59057071960298,2.5856103863021507,-0.01539743293043752,0.03360616047859272,3.717582417050395,1.015384413021708,1.2254913686040736,1.0643047151846328,1.119301636032455,1.3742506871998634,5.136470902607482,18.0,3.3314661437071007,9.999999999999998,0.6859297944000591,False,True
