event_id,matchup,start_time,sportsbook,market,updated_at,outcome_name,point,price
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Over","0.5","-350"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Over","1.5","-130"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Over","2.5","160"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Over","3.5","310"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Over","4.5","600"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Over","5.5","1000"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Under","0.5","230"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Under","1.5","-120"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Under","2.5","-240"
"9d137e890c8e3337cf83b0d6d1fea2fb","Miami Marlins @ Washington Nationals","2026-08-30T16:16:00Z","fanduel","alternate_totals_1st_5_innings","2026-08-30T16:58:59Z","Under","3.5","-475"
