rotation_tier,rest_bucket,cohort_n,market_covered_n,market_coverage_pct,historical_i2_under_pct,market_covered_i2_under_pct,fair_under_american,q1_total,median_total,q3_total,share_total_le_7_5_pct,share_total_eq_8_0_pct,share_total_eq_8_5_pct,share_total_ge_9_0_pct,median_devig_fullgame_under_pct,juice_covered_n,total_only_market_baseline_i2_under_pct,residual_all_vs_total_pp,residual_covered_vs_total_pp,juice_enhanced_market_baseline_i2_under_pct,residual_covered_vs_total_plus_juice_pp,interpretation
both_top3,0-1,44,43,97.72727272727273,75.0,74.4186046511628,-300.0,7.5,8.0,8.5,34.883720930232556,27.906976744186046,18.6046511627907,18.6046511627907,50.0,43,57.74454023299861,17.25545976700139,16.674064418164182,57.71287150442823,16.70573314673456,Large residual: not fully priced
both_top3,2+,37,34,91.89189189189189,64.86486486486487,67.64705882352942,-184.61538461538464,8.0,8.0,8.5,23.529411764705884,35.294117647058826,20.58823529411765,20.58823529411765,50.0,34,57.33506730849409,7.529797556370776,10.311991515035324,57.45641923542717,10.190639588102247,Large residual: not fully priced
any_back,0-1,67,63,94.02985074626865,64.17910447761194,61.904761904761905,-179.16666666666666,8.0,8.5,9.0,20.634920634920636,7.936507936507937,36.507936507936506,34.92063492063492,50.43297540699688,63,56.54227438562345,7.6368300919884895,5.362487519138459,56.76904265548397,5.135719249277937,Large residual: not fully priced
any_back,2+,56,51,91.07142857142857,46.42857142857143,43.13725490196079,115.38461538461537,7.75,8.5,9.0,25.49019607843137,11.764705882352942,35.294117647058826,27.45098039215686,50.0,51,56.08155792279983,-9.652986494228399,-12.944303020839044,55.9603014447257,-12.823046542764915,Negative residual: market baseline >= cohort
