rotation_tier,rest_bucket,g1_g3_n,g1_g3_under_pct,g1_g3_median_total,g1_g3_total_baseline_pct,g1_g3_residual_covered_pp,g4_n,g4_under_pct,g4_median_total,g4_total_baseline_pct,g4_residual_covered_pp,g4_minus_g1_g3_under_pp,g4_minus_g1_g3_median_total,g4_minus_g1_g3_market_baseline_pp,g4_minus_g1_g3_residual_pp,market_pricing_read
both_top3,0-1,1672,57.71531100478469,8.0,57.23395643469229,1.0938908332471464,90,71.11111111111111,8.0,57.46645762709009,13.121777667027567,13.395800106326426,0.0,0.2325011923977982,12.027886833780421,Market did not move enough
both_top3,2+,987,59.77710233029382,8.0,57.14067911916253,2.791600790544013,78,64.1025641025641,8.0,56.681243995066644,7.702317648768975,4.32546177227028,0.0,-0.45943512409588294,4.910716858224962,Market did not move enough
any_back,0-1,2233,54.36632333184057,8.5,56.16087204275163,-1.3095799900943894,122,62.295081967213115,8.5,56.764092317979234,4.105472899412077,7.928758635372546,0.0,0.6032202752276064,5.415052889506466,Market did not move enough
any_back,2+,1330,52.40601503759399,8.5,56.10441259114168,-3.043188101345762,113,58.4070796460177,8.5,55.80662781037521,0.6290157539812213,6.001064608423711,0.0,-0.2977847807664702,3.672203855326983,Market did not move enough
