season,gid,date,half,i1_pa,i1_runs,i1_pitches,i2_start_slot,same_pitcher_i2,i2_pa,i2_runs,i2_pitches
2023,BOS202303300,20230330,top,6,1,28,7,1,3,0,18
2023,BOS202303300,20230330,bottom,4,1,18,5,1,3,0,18
2023,CHN202303300,20230330,top,5,0,21,6,1,3,0,14
2023,CHN202303300,20230330,bottom,4,0,13,5,1,3,0,18
2023,CIN202303300,20230330,top,5,0,19,6,1,4,0,19
2023,CIN202303300,20230330,bottom,5,1,22,6,1,4,0,20
2023,HOU202303300,20230330,top,4,0,12,5,1,3,0,11
2023,HOU202303300,20230330,bottom,4,0,16,5,1,3,0,14
2023,KCA202303300,20230330,top,6,0,21,7,1,3,0,11
2023,KCA202303300,20230330,bottom,3,0,13,4,1,3,0,12
2023,LAN202303300,20230330,top,5,1,15,6,1,4,1,11
2023,LAN202303300,20230330,bottom,4,0,13,5,1,3,0,11
2023,MIA202303300,20230330,top,3,0,18,4,1,3,0,8
2023,MIA202303300,20230330,bottom,3,0,10,4,1,3,0,12
2023,NYA202303300,20230330,top,4,0,21,5,1,4,0,18
2023,NYA202303300,20230330,bottom,5,1,20,6,1,3,0,11
2023,OAK202303300,20230330,top,3,0,18,4,1,3,0,10
2023,OAK202303300,20230330,bottom,4,0,15,5,1,3,0,15
2023,SDN202303300,20230330,top,6,1,24,7,1,4,0,21
2023,SDN202303300,20230330,bottom,5,1,17,6,1,3,0,12
2023,SEA202303300,20230330,top,3,0,12,4,1,3,0,15
2023,SEA202303300,20230330,bottom,4,0,20,5,1,4,0,12
2023,SLN202303300,20230330,top,8,3,37,9,1,6,1,19
2023,SLN202303300,20230330,bottom,6,1,29,7,1,5,0,17
2023,TBA202303300,20230330,top,4,0,15,5,1,4,0,18
2023,TBA202303300,20230330,bottom,4,0,18,5,1,4,0,16
2023,TEX202303300,20230330,top,3,0,10,4,1,5,2,22
2023,TEX202303300,20230330,bottom,4,0,22,5,1,3,0,7
2023,WAS202303300,20230330,top,5,0,25,6,1,9,3,35
2023,WAS202303300,20230330,bottom,3,0,8,4,1,5,1,15
2023,HOU202303310,20230331,top,5,1,23,6,1,3,0,8
2023,HOU202303310,20230331,bottom,3,0,9,4,1,6,0,24
2023,LAN202303310,20230331,top,3,0,16,4,1,4,0,12
2023,LAN202303310,20230331,bottom,5,0,28,6,1,4,0,17
2023,MIA202303310,20230331,top,3,0,18,4,1,3,0,7
2023,MIA202303310,20230331,bottom,4,0,20,5,1,6,1,18
2023,SDN202303310,20230331,top,7,2,23,8,1,3,0,14
2023,SDN202303310,20230331,bottom,4,0,17,5,1,4,0,15
2023,SEA202303310,20230331,top,5,0,26,6,1,6,3,20
2023,SEA202303310,20230331,bottom,5,1,17,6,1,4,0,14
2023,BOS202304010,20230401,top,6,3,19,7,1,5,0,21
2023,BOS202304010,20230401,bottom,4,0,12,5,1,4,1,19
2023,CHN202304010,20230401,top,4,0,19,5,1,3,0,15
2023,CHN202304010,20230401,bottom,4,0,17,5,1,3,0,13
2023,CIN202304010,20230401,top,7,1,35,8,1,4,0,19
2023,CIN202304010,20230401,bottom,6,3,26,7,1,3,0,10
2023,HOU202304010,20230401,top,4,0,15,5,1,4,1,13
2023,HOU202304010,20230401,bottom,7,2,25,8,1,5,0,24
2023,KCA202304010,20230401,top,6,1,25,7,1,3,0,15
2023,KCA202304010,20230401,bottom,3,0,7,4,1,5,0,20
2023,LAN202304010,20230401,top,3,0,10,4,1,4,1,18
2023,LAN202304010,20230401,bottom,9,5,31,1,1,4,0,15
2023,MIA202304010,20230401,top,5,0,20,6,1,5,1,20
2023,MIA202304010,20230401,bottom,5,0,24,6,1,6,2,25
2023,NYA202304010,20230401,top,4,0,18,5,1,5,0,32
2023,NYA202304010,20230401,bottom,6,1,38,7,1,4,0,15
2023,OAK202304010,20230401,top,3,0,11,4,1,3,0,12
2023,OAK202304010,20230401,bottom,3,0,8,4,1,4,0,16
2023,SDN202304010,20230401,top,3,0,9,4,1,5,0,23
2023,SDN202304010,20230401,bottom,7,2,36,8,1,4,0,16
2023,SEA202304010,20230401,top,5,0,22,6,1,4,0,19
2023,SEA202304010,20230401,bottom,4,0,13,5,1,3,0,14
2023,SLN202304010,20230401,top,6,0,29,7,1,4,0,11
2023,SLN202304010,20230401,bottom,4,0,12,5,1,4,0,15
2023,TBA202304010,20230401,top,3,0,12,4,1,5,0,12
2023,TBA202304010,20230401,bottom,6,1,22,7,1,5,0,20
2023,TEX202304010,20230401,top,4,0,13,5,1,3,0,13
2023,TEX202304010,20230401,bottom,7,2,23,8,1,4,0,21
2023,WAS202304010,20230401,top,5,2,16,6,1,3,0,12
2023,WAS202304010,20230401,bottom,3,0,15,4,1,3,0,13
2023,BOS202304020,20230402,top,3,0,9,4,1,5,0,19
2023,BOS202304020,20230402,bottom,7,1,32,8,1,4,1,17
2023,CHN202304020,20230402,top,3,0,10,4,1,6,1,22
2023,CHN202304020,20230402,bottom,4,1,21,5,1,6,1,25
2023,CIN202304020,20230402,top,3,0,9,4,1,3,0,12
2023,CIN202304020,20230402,bottom,3,0,11,4,1,5,1,19
2023,HOU202304020,20230402,top,4,0,21,5,1,6,0,14
2023,HOU202304020,20230402,bottom,5,0,22,6,1,5,0,23
