season,gid,date,half,i1_pa,i1_runs,i1_pitches,i2_start_slot,same_pitcher_i2,i2_pa,i2_runs,i2_pitches
2021,ANA202104010,20210401,top,4,0,17,5,1,4,1,15
2021,ANA202104010,20210401,bottom,3,0,17,4,1,3,0,15
2021,CHN202104010,20210401,top,5,2,18,6,1,6,1,24
2021,CHN202104010,20210401,bottom,6,1,32,7,1,4,0,15
2021,CIN202104010,20210401,top,9,6,19,1,1,4,1,15
2021,CIN202104010,20210401,bottom,4,1,15,5,1,3,0,17
2021,COL202104010,20210401,top,5,0,23,6,1,5,0,17
2021,COL202104010,20210401,bottom,3,0,11,4,1,3,0,9
2021,DET202104010,20210401,top,4,0,11,5,1,3,0,14
2021,DET202104010,20210401,bottom,6,2,19,7,1,6,1,20
2021,KCA202104010,20210401,top,10,5,37,2,1,7,1,29
2021,KCA202104010,20210401,bottom,10,5,41,2,0,5,0,14
2021,MIA202104010,20210401,top,6,0,19,7,1,3,0,9
2021,MIA202104010,20210401,bottom,4,0,20,5,1,3,0,12
2021,MIL202104010,20210401,top,5,0,23,6,1,4,0,10
2021,MIL202104010,20210401,bottom,3,0,12,4,1,5,0,13
2021,NYA202104010,20210401,top,3,0,12,4,1,6,1,26
2021,NYA202104010,20210401,bottom,3,0,15,4,1,5,2,24
2021,OAK202104010,20210401,top,3,0,7,4,1,3,0,19
2021,OAK202104010,20210401,bottom,3,0,17,4,1,3,0,9
2021,PHI202104010,20210401,top,3,0,9,4,1,4,0,13
2021,PHI202104010,20210401,bottom,6,1,19,7,1,3,0,11
2021,SDN202104010,20210401,top,6,1,22,7,1,4,0,21
2021,SDN202104010,20210401,bottom,3,0,8,4,1,8,2,32
2021,SEA202104010,20210401,top,3,0,13,4,1,5,2,12
2021,SEA202104010,20210401,bottom,3,0,13,4,1,3,0,5
2021,ANA202104020,20210402,top,3,0,10,4,1,3,0,13
2021,ANA202104020,20210402,bottom,4,1,14,5,1,4,0,15
2021,BOS202104020,20210402,top,3,0,11,4,1,5,0,28
2021,BOS202104020,20210402,bottom,3,0,13,4,1,4,0,18
2021,COL202104020,20210402,top,7,2,17,8,1,6,2,22
2021,COL202104020,20210402,bottom,3,0,12,4,1,4,0,12
2021,MIA202104020,20210402,top,5,0,21,6,1,4,0,20
2021,MIA202104020,20210402,bottom,3,0,13,4,1,3,0,10
2021,OAK202104020,20210402,top,4,0,13,5,1,5,0,23
2021,OAK202104020,20210402,bottom,3,0,16,4,1,3,0,9
2021,SDN202104020,20210402,top,3,0,14,4,1,5,0,16
2021,SDN202104020,20210402,bottom,3,0,16,4,1,6,1,23
2021,SEA202104020,20210402,top,3,0,13,4,1,3,0,14
2021,SEA202104020,20210402,bottom,4,0,13,5,1,5,1,29
2021,ANA202104030,20210403,top,3,0,14,4,1,4,1,21
2021,ANA202104030,20210403,bottom,5,0,28,6,1,4,0,19
2021,BOS202104030,20210403,top,4,0,12,5,1,3,0,14
2021,BOS202104030,20210403,bottom,4,0,20,5,1,4,0,17
2021,CHN202104030,20210403,top,6,1,25,7,1,3,0,9
2021,CHN202104030,20210403,bottom,3,0,13,4,1,6,2,21
2021,CIN202104030,20210403,top,3,0,15,4,1,4,1,18
2021,CIN202104030,20210403,bottom,3,0,10,4,1,3,0,15
2021,COL202104030,20210403,top,5,0,21,6,1,3,0,15
2021,COL202104030,20210403,bottom,3,0,14,4,1,4,0,12
2021,DET202104030,20210403,top,3,0,9,4,1,4,1,15
2021,DET202104030,20210403,bottom,5,2,24,6,1,4,0,18
2021,KCA202104030,20210403,top,5,2,23,6,1,3,0,11
2021,KCA202104030,20210403,bottom,3,0,17,4,1,3,0,11
2021,MIA202104030,20210403,top,3,0,13,4,1,5,2,14
2021,MIA202104030,20210403,bottom,5,1,24,6,1,5,1,20
2021,MIL202104030,20210403,top,3,0,14,4,1,3,0,16
2021,MIL202104030,20210403,bottom,3,0,10,4,1,3,0,12
2021,NYA202104030,20210403,top,4,0,12,5,1,3,0,13
2021,NYA202104030,20210403,bottom,5,0,17,6,1,6,1,18
2021,OAK202104030,20210403,top,5,1,18,6,1,7,1,28
2021,OAK202104030,20210403,bottom,6,1,33,7,1,3,0,12
2021,PHI202104030,20210403,top,3,0,14,4,1,4,0,18
2021,PHI202104030,20210403,bottom,3,0,6,4,1,4,0,15
2021,SDN202104030,20210403,top,4,0,15,5,1,3,0,11
2021,SDN202104030,20210403,bottom,8,2,37,9,1,6,2,26
2021,SEA202104030,20210403,top,3,0,14,4,1,3,0,18
2021,SEA202104030,20210403,bottom,5,0,23,6,1,3,0,10
2021,ANA202104040,20210404,top,4,0,20,5,1,3,0,11
2021,ANA202104040,20210404,bottom,7,2,30,8,1,4,0,17
2021,BOS202104040,20210404,top,7,3,31,8,1,5,0,17
2021,BOS202104040,20210404,bottom,3,0,10,4,1,3,0,10
2021,CHN202104040,20210404,top,3,0,9,4,1,4,0,11
2021,CHN202104040,20210404,bottom,6,2,31,7,1,3,0,19
2021,CIN202104040,20210404,top,4,0,20,5,1,3,0,14
2021,CIN202104040,20210404,bottom,3,0,14,4,1,3,0,12
2021,COL202104040,20210404,top,7,3,33,8,1,4,0,12
2021,COL202104040,20210404,bottom,3,0,12,4,1,3,0,7
2021,DET202104040,20210404,top,5,1,17,6,1,4,0,21
2021,DET202104040,20210404,bottom,5,2,16,6,1,3,0,17
2021,KCA202104040,20210404,top,5,0,19,6,1,3,0,12
2021,KCA202104040,20210404,bottom,4,0,9,5,1,4,0,17
2021,MIL202104040,20210404,top,5,1,17,6,1,3,0,14
2021,MIL202104040,20210404,bottom,3,0,12,4,1,5,1,13
2021,NYA202104040,20210404,top,4,0,12,5,1,7,3,34
2021,NYA202104040,20210404,bottom,3,0,10,4,1,4,0,20
2021,OAK202104040,20210404,top,4,1,14,5,1,5,2,24
2021,OAK202104040,20210404,bottom,7,1,28,8,1,3,0,16
2021,PHI202104040,20210404,top,4,0,23,5,1,4,0,9
2021,PHI202104040,20210404,bottom,5,0,27,6,1,4,1,19
2021,SDN202104040,20210404,top,6,2,28,7,1,3,0,11
2021,SDN202104040,20210404,bottom,3,0,5,4,1,6,0,20
2021,ANA202104050,20210405,top,8,3,29,9,1,4,0,23
2021,ANA202104050,20210405,bottom,4,0,19,5,1,3,0,11
2021,BOS202104050,20210405,top,5,0,29,6,1,3,0,13
2021,BOS202104050,20210405,bottom,5,0,17,6,1,5,1,12
2021,CHN202104050,20210405,top,3,0,16,4,1,3,0,7
2021,CHN202104050,20210405,bottom,3,0,10,4,1,3,0,11
2021,CIN202104050,20210405,top,5,2,14,6,1,3,0,14
2021,CIN202104050,20210405,bottom,4,0,17,5,1,6,1,23
2021,CLE202104050,20210405,top,6,0,24,7,1,6,2,24
2021,CLE202104050,20210405,bottom,3,0,16,4,1,4,0,14
2021,DET202104050,20210405,top,5,1,26,6,1,8,5,40
2021,DET202104050,20210405,bottom,3,0,9,4,1,3,0,12
2021,MIA202104050,20210405,top,8,3,38,9,1,3,0,9
2021,MIA202104050,20210405,bottom,4,0,15,5,1,4,0,26
2021,NYA202104050,20210405,top,3,0,12,4,1,3,0,10
2021,NYA202104050,20210405,bottom,4,0,15,5,1,3,0,11
2021,OAK202104050,20210405,top,4,0,25,5,1,8,4,36
2021,OAK202104050,20210405,bottom,5,0,18,6,1,5,0,21
2021,PHI202104050,20210405,top,3,0,12,4,1,3,0,12
2021,PHI202104050,20210405,bottom,4,0,16,5,1,3,0,11
2021,SDN202104050,20210405,top,4,0,12,5,1,5,1,19
2021,SDN202104050,20210405,bottom,4,0,13,5,1,5,1,17
2021,SEA202104050,20210405,top,5,0,19,6,1,4,1,11
2021,SEA202104050,20210405,bottom,5,0,26,6,1,3,0,9
2021,TEX202104050,20210405,top,6,1,35,7,1,6,3,29
2021,TEX202104050,20210405,bottom,3,0,19,4,1,3,0,13
2021,ANA202104060,20210406,top,4,0,17,5,1,5,2,21
2021,ANA202104060,20210406,bottom,6,2,24,7,1,4,0,12
2021,BOS202104060,20210406,top,4,0,11,5,1,3,0,15
2021,BOS202104060,20210406,bottom,4,1,21,5,1,3,0,11
2021,CHN202104060,20210406,top,6,3,22,7,1,4,0,13
2021,CHN202104060,20210406,bottom,3,0,12,4,1,5,0,27
2021,CIN202104060,20210406,top,3,0,15,4,1,4,0,13
2021,CIN202104060,20210406,bottom,4,1,16,5,1,7,4,26
2021,COL202104060,20210406,top,3,0,8,4,1,4,0,12
2021,COL202104060,20210406,bottom,4,0,20,5,1,5,2,16
2021,DET202104060,20210406,top,4,0,16,5,1,5,0,21
2021,DET202104060,20210406,bottom,4,0,22,5,1,4,0,19
2021,MIA202104060,20210406,top,4,0,19,5,1,3,0,12
2021,MIA202104060,20210406,bottom,6,1,26,7,1,3,0,12
2021,NYA202104060,20210406,top,4,0,16,5,1,4,0,18
2021,NYA202104060,20210406,bottom,6,0,24,7,1,4,1,19
