event,n,mean_pitches
single,128931,3.304775422512817
double,39547,3.289453055857587
triple,3351,3.369740376007162
home_run,28130,3.2875577675079986
walk,76774,5.452340636152864
hit_by_pitch,10218,3.055881777255823
strikeout,206642,4.75517077844775
ball_in_play_out,419756,3.316857888868771
