i2_start_slot,n,p_score,mean_runs,mean_i1_pitches,p_same_pitcher
1,189,0.35978835978835977,0.7777777777777778,34.423280423280424,0.8359788359788359
2,65,0.3076923076923077,0.7230769230769231,39.38461538461539,0.6153846153846154
3,33,0.18181818181818182,0.36363636363636365,42.57575757575758,0.42424242424242425
4,8957,0.24751590934464665,0.4296081277213353,11.941051691414536,0.9915150161884559
5,6952,0.24252013808975834,0.43368814729574223,15.99223245109321,0.9833141542002302
6,4246,0.24964672633066415,0.4743287800282619,20.000235515779558,0.9759773904851625
7,2370,0.25443037974683547,0.4873417721518987,23.825738396624473,0.9793248945147679
8,1038,0.2764932562620424,0.569364161849711,27.84971098265896,0.9633911368015414
9,446,0.33183856502242154,0.6748878923766816,31.067264573991032,0.9551569506726457
