season,gid,date,half,i1_pa,i1_runs,i1_pitches,i2_start_slot,same_pitcher_i2,i2_pa,i2_runs,i2_pitches
2024,SDN202403200,20240320,top,4,0,14,5,1,4,0,16
2024,SDN202403200,20240320,bottom,3,0,13,4,1,4,0,13
2024,LAN202403210,20240321,top,9,5,43,1,0,5,0,17
2024,LAN202403210,20240321,bottom,7,1,31,8,1,5,1,18
2024,ARI202403280,20240328,top,3,0,15,4,1,5,1,18
2024,ARI202403280,20240328,bottom,5,2,13,6,1,3,0,11
2024,BAL202403280,20240328,top,4,1,14,5,1,3,0,16
2024,BAL202403280,20240328,bottom,7,2,28,8,1,8,3,35
2024,CHA202403280,20240328,top,3,0,15,4,1,4,0,14
2024,CHA202403280,20240328,bottom,4,0,14,5,1,4,0,18
2024,CIN202403280,20240328,top,3,0,11,4,1,4,0,9
2024,CIN202403280,20240328,bottom,4,0,17,5,1,8,3,26
2024,HOU202403280,20240328,top,3,0,15,4,1,5,0,15
2024,HOU202403280,20240328,bottom,8,3,33,9,1,4,1,14
2024,KCA202403280,20240328,top,5,1,19,6,1,3,0,13
2024,KCA202403280,20240328,bottom,4,1,18,5,1,4,0,9
2024,LAN202403280,20240328,top,4,0,21,5,1,3,0,10
2024,LAN202403280,20240328,bottom,6,2,29,7,1,3,0,13
2024,MIA202403280,20240328,top,5,0,21,6,1,3,0,16
2024,MIA202403280,20240328,bottom,3,0,6,4,1,7,2,20
2024,OAK202403280,20240328,top,3,0,9,4,1,5,1,27
2024,OAK202403280,20240328,bottom,4,0,20,5,1,4,0,14
2024,SDN202403280,20240328,top,3,0,9,4,1,3,0,13
2024,SDN202403280,20240328,bottom,3,0,18,4,1,3,0,12
2024,SEA202403280,20240328,top,3,0,15,4,1,4,0,21
2024,SEA202403280,20240328,bottom,4,0,17,5,1,4,0,17
2024,TBA202403280,20240328,top,3,0,10,4,1,3,0,14
2024,TBA202403280,20240328,bottom,4,1,17,5,1,4,0,22
2024,TEX202403280,20240328,top,3,0,9,4,1,4,1,13
2024,TEX202403280,20240328,bottom,4,0,24,5,1,3,0,11
2024,ARI202403290,20240329,top,4,0,19,5,1,4,1,14
2024,ARI202403290,20240329,bottom,6,2,31,7,1,4,0,11
2024,HOU202403290,20240329,top,4,0,17,5,1,3,0,11
2024,HOU202403290,20240329,bottom,5,1,20,6,1,5,0,22
2024,LAN202403290,20240329,top,3,0,15,4,1,3,0,11
2024,LAN202403290,20240329,bottom,4,1,12,5,1,4,1,16
2024,MIA202403290,20240329,top,4,0,21,5,1,6,2,26
2024,MIA202403290,20240329,bottom,3,0,15,4,1,4,0,14
2024,NYN202403290,20240329,top,4,0,22,5,1,4,0,14
2024,NYN202403290,20240329,bottom,3,0,14,4,1,4,1,25
2024,OAK202403290,20240329,top,7,3,26,8,1,3,0,9
2024,OAK202403290,20240329,bottom,3,0,19,4,1,4,0,16
2024,PHI202403290,20240329,top,4,0,14,5,1,4,0,14
2024,PHI202403290,20240329,bottom,3,0,15,4,1,4,0,12
2024,SDN202403290,20240329,top,8,3,26,9,1,3,0,11
2024,SDN202403290,20240329,bottom,4,0,15,5,1,3,0,12
2024,SEA202403290,20240329,top,5,0,22,6,1,3,0,11
2024,SEA202403290,20240329,bottom,3,0,13,4,1,4,0,18
