season,gid,date,half,i1_pa,i1_runs,i1_pitches,i2_start_slot,same_pitcher_i2,i2_pa,i2_runs,i2_pitches
2022,ANA202204070,20220407,top,5,0,19,6,1,3,0,11
2022,ANA202204070,20220407,bottom,3,0,9,4,1,4,0,13
2022,ARI202204070,20220407,top,3,0,10,4,1,4,0,16
2022,ARI202204070,20220407,bottom,4,0,17,5,1,3,0,12
2022,ATL202204070,20220407,top,3,0,11,4,1,6,1,18
2022,ATL202204070,20220407,bottom,4,0,11,5,1,3,0,11
2022,CHN202204070,20220407,top,3,0,8,4,1,5,0,21
2022,CHN202204070,20220407,bottom,3,0,13,4,1,5,0,20
2022,KCA202204070,20220407,top,3,0,7,4,1,3,0,12
2022,KCA202204070,20220407,bottom,4,0,12,5,1,3,0,21
2022,SLN202204070,20220407,top,3,0,14,4,1,3,0,14
2022,SLN202204070,20220407,bottom,7,1,26,8,1,6,3,28
2022,WAS202204070,20220407,top,4,0,20,5,1,3,0,12
2022,WAS202204070,20220407,bottom,3,0,15,4,1,4,0,15
2022,ANA202204080,20220408,top,6,1,29,7,1,3,0,17
2022,ANA202204080,20220408,bottom,6,2,22,7,1,3,0,8
2022,ARI202204080,20220408,top,5,0,28,6,1,3,0,10
2022,ARI202204080,20220408,bottom,3,0,16,4,1,4,0,12
2022,ATL202204080,20220408,top,3,0,12,4,1,3,0,9
2022,ATL202204080,20220408,bottom,4,0,16,5,1,7,2,28
2022,COL202204080,20220408,top,4,0,14,5,1,4,0,17
2022,COL202204080,20220408,bottom,4,0,16,5,1,6,2,23
2022,DET202204080,20220408,top,6,1,31,7,1,6,2,27
2022,DET202204080,20220408,bottom,4,0,14,5,1,4,0,18
2022,MIN202204080,20220408,top,5,2,12,6,1,4,0,15
2022,MIN202204080,20220408,bottom,4,0,8,5,1,3,0,11
2022,NYA202204080,20220408,top,7,3,27,8,1,3,0,9
2022,NYA202204080,20220408,bottom,5,2,10,6,1,4,0,17
2022,PHI202204080,20220408,top,3,0,11,4,1,3,0,9
2022,PHI202204080,20220408,bottom,4,1,18,5,1,4,0,16
2022,SFN202204080,20220408,top,3,0,13,4,1,5,0,18
2022,SFN202204080,20220408,bottom,4,0,23,5,1,3,0,9
2022,TBA202204080,20220408,top,6,0,22,7,1,4,0,19
2022,TBA202204080,20220408,bottom,4,0,17,5,1,5,0,27
2022,TOR202204080,20220408,top,9,4,38,1,0,5,2,11
2022,TOR202204080,20220408,bottom,3,0,14,4,1,3,0,16
2022,WAS202204080,20220408,top,3,0,12,4,1,3,0,13
2022,WAS202204080,20220408,bottom,3,0,9,4,1,5,1,14
2022,ANA202204090,20220409,top,3,0,8,4,1,5,0,17
2022,ANA202204090,20220409,bottom,3,0,17,4,1,4,1,14
2022,ARI202204090,20220409,top,4,0,17,5,1,4,0,15
2022,ARI202204090,20220409,bottom,5,1,21,6,1,4,0,14
2022,ATL202204090,20220409,top,3,0,11,4,1,4,0,16
2022,ATL202204090,20220409,bottom,6,2,18,7,1,4,0,20
2022,CHN202204090,20220409,top,3,0,15,4,1,4,0,17
2022,CHN202204090,20220409,bottom,8,3,40,9,1,3,0,7
2022,COL202204090,20220409,top,3,0,7,4,1,4,0,10
2022,COL202204090,20220409,bottom,6,1,23,7,1,5,0,25
2022,DET202204090,20220409,top,6,2,18,7,1,3,0,8
2022,DET202204090,20220409,bottom,4,0,10,5,1,4,0,22
2022,KCA202204090,20220409,top,3,0,13,4,1,4,0,13
2022,KCA202204090,20220409,bottom,4,0,14,5,1,3,0,10
2022,MIN202204090,20220409,top,3,0,10,4,1,4,0,13
2022,MIN202204090,20220409,bottom,5,1,25,6,1,6,0,27
2022,NYA202204090,20220409,top,3,0,13,4,1,6,2,31
2022,NYA202204090,20220409,bottom,3,0,10,4,1,3,0,12
