series_game,rotation_tier,rest_bucket,cohort_n,market_n,cohort_under_pct,market_covered_under_pct,fair_under,median_total,q1_total,q3_total,median_over_odds,median_under_odds,median_devig_under_pct,baseline_total_pct,baseline_total_juice_pct,residual_all_vs_total_pp,residual_covered_vs_total_pp,residual_all_vs_juice_pp,residual_covered_vs_juice_pp,share_le_7_5_pct,share_eq_8_0_pct,share_eq_8_5_pct,share_ge_9_0_pct
1,both_top3,0-1,657,600,57.3820395738204,57.99999999999999,-134.64285714285717,8.0,7.5,8.5,-110.0,-110.0,50.0,57.18268005163086,57.202256367301985,0.199359522189535,0.8173199483691329,0.1797832065184135,0.7977436326980114,35.0,23.5,23.166666666666668,18.333333333333332
1,both_top3,2+,273,248,57.14285714285714,57.25806451612904,-133.33333333333331,8.0,7.5,8.5,-110.0,-110.0,50.0,57.33639852399569,57.40637419560217,-0.19354138113855113,-0.0783340078666539,-0.26351705274503257,-0.14830967947313534,31.85483870967742,27.822580645161292,22.983870967741936,17.338709677419356
1,any_back,0-1,862,796,53.94431554524361,54.52261306532663,-117.12846347607051,8.5,8.0,9.0,-110.0,-110.0,50.0,56.205047805109146,56.19544076706291,-2.2607322598655277,-1.6824347397825123,-2.2511252218192945,-1.6728277017362791,19.472361809045225,21.733668341708544,26.884422110552762,31.90954773869347
1,any_back,2+,399,357,53.63408521303258,54.621848739495796,-115.67567567567566,8.5,8.0,9.0,-110.0,-110.0,50.0,56.02281129898499,55.93296109062899,-2.3887260859524084,-1.400962559489194,-2.298875877596418,-1.3111123511332035,19.88795518207283,17.366946778711483,29.69187675070028,33.05322128851541
2,both_top3,0-1,572,525,58.91608391608392,58.857142857142854,-143.40425531914894,8.0,7.5,8.5,-110.0,-110.0,50.0,57.36380148406441,57.387159784744455,1.5522824320195028,1.4933413730784384,1.5289241313394597,1.4699830723983953,35.23809523809524,22.476190476190474,23.238095238095237,19.047619047619047
2,both_top3,2+,344,305,58.139534883720934,58.36065573770492,-138.8888888888889,8.0,7.5,8.5,-110.0,-110.0,50.0,57.040113283380634,57.24701771069945,1.0994216003403001,1.3205424543242805,0.8925171730214787,1.113638027005459,33.77049180327869,25.57377049180328,17.049180327868854,23.60655737704918
2,any_back,0-1,779,713,55.327342747111686,55.820476858345025,-123.85057471264369,8.5,8.0,9.0,-110.0,-110.0,50.0,56.11876757785525,56.04711865184664,-0.7914248307435701,-0.29829071951023023,-0.7197759047349539,-0.22664179350161406,20.757363253856944,18.653576437587656,26.08695652173913,34.50210378681627
2,any_back,2+,409,362,50.8557457212714,51.38121546961326,-103.48258706467662,8.5,8.0,9.0,-110.0,-110.0,50.0,56.319642653211,56.414334984031065,-5.463896931939605,-4.938427183597738,-5.558589262759672,-5.033119514417805,23.204419889502763,20.165745856353592,28.45303867403315,28.176795580110497
3,both_top3,0-1,443,394,56.659142212189614,58.121827411167516,-130.72916666666666,8.0,7.5,8.5,-110.0,-110.0,50.0,57.13902541671384,57.17723289208645,-0.47988320452422295,0.9828019944536748,-0.5180906798968321,0.9445945190810656,31.725888324873097,20.81218274111675,25.380710659898476,22.081218274111674
3,both_top3,2+,370,333,63.24324324324324,63.36336336336337,-172.05882352941174,8.0,7.5,8.5,-110.0,-110.0,50.0,57.090030973561475,57.18516924086499,6.153212269681763,6.2733323898018885,6.058074002378255,6.178194122498382,33.033033033033036,20.42042042042042,23.723723723723722,22.822822822822822
3,any_back,0-1,592,542,53.71621621621622,54.05904059040591,-116.05839416058394,8.5,8.0,9.0,-110.0,-110.0,50.0,56.151382331745225,56.091225273833956,-2.4351661155290083,-2.092341741339321,-2.3750090576177385,-2.032184683428051,18.819188191881917,19.18819188191882,27.85977859778598,34.132841328413285
3,any_back,2+,522,457,52.68199233716475,53.17286652078774,-111.33603238866397,8.5,8.0,9.0,-110.0,-110.0,50.0,55.997669437598674,55.9326732328432,-3.3156771004339225,-2.824802916810931,-3.2506808956784483,-2.759806712055457,19.474835886214443,19.91247264770241,25.164113785557987,35.44857768052516
4,both_top3,0-1,90,85,71.11111111111111,70.58823529411765,-246.1538461538462,8.0,7.5,8.5,-110.0,-110.0,50.0,57.46645762709009,57.42599874953408,13.64465348402103,13.121777667027567,13.685112361577033,13.162236544583571,35.294117647058826,22.352941176470587,22.352941176470587,20.0
4,both_top3,2+,78,73,64.1025641025641,64.38356164383562,-178.57142857142858,8.0,7.5,9.0,-110.0,-110.0,50.0,56.681243995066644,56.781120370818414,7.421320107497465,7.702317648768975,7.321443731745692,7.602441273017202,30.136986301369863,21.91780821917808,17.80821917808219,30.136986301369863
4,any_back,0-1,122,115,62.295081967213115,60.86956521739131,-165.21739130434784,8.5,8.0,9.0,-110.0,-110.0,50.0,56.764092317979234,56.751050748735906,5.530989649233886,4.105472899412077,5.544031218477208,4.118514468655398,21.73913043478261,13.91304347826087,30.434782608695652,33.91304347826087
4,any_back,2+,113,101,58.4070796460177,56.43564356435643,-140.4255319148936,8.5,8.0,9.0,-110.0,-110.0,50.0,55.80662781037521,55.91742461334286,2.600451835642492,0.6290157539812213,2.4896550326748423,0.5182189510135715,19.801980198019802,13.861386138613861,32.67326732673267,33.663366336633665
