rotation_tier,rest_bucket,g1_3_n,g4_n,g1_3_under_pct,g4_under_pct,under_delta_pp,g1_3_market_n,g4_market_n,g1_3_median_total,g4_median_total,median_total_delta,g1_3_baseline_total_pct,g4_baseline_total_pct,baseline_delta_pp,g1_3_residual_total_pp,g4_residual_total_pp,residual_delta_pp,g1_3_baseline_juice_pct,g4_baseline_juice_pct,g1_3_residual_juice_pp,g4_residual_juice_pp,residual_juice_delta_pp
both_top3,0-1,1672,90,57.71531100478469,71.11111111111111,13.395800106326426,1519,85,8.0,8.0,0.0,57.23395643469229,57.46645762709009,0.2325011923977982,0.481354570092396,13.64465348402103,13.163298913928633,57.25967246007511,57.42599874953408,0.4556385447095801,13.685112361577033,13.229473816867454
both_top3,2+,987,78,59.77710233029382,64.1025641025641,4.32546177227028,886,73,8.0,8.0,0.0,57.14180778733409,56.681243995066644,-0.46056379226744326,2.635294542959732,7.421320107497465,4.7860255645377325,57.26837760663738,56.781120370818414,2.5087247236564414,7.321443731745692,4.812719008089251
any_back,0-1,2233,122,54.36632333184057,62.295081967213115,7.928758635372546,2051,115,8.5,8.5,0.0,56.16087204275162,56.764092317979234,0.6032202752276135,-1.794548710911048,5.530989649233886,7.325538360144934,56.116338638599096,56.751050748735906,-1.7500153067585233,5.544031218477208,7.294046525235732
any_back,2+,1330,113,52.40601503759399,58.4070796460177,6.001064608423711,1176,101,8.5,8.5,0.0,56.10441259114168,55.80662781037521,-0.2977847807664702,-3.6983975535476943,2.600451835642492,6.298849389190186,56.081027245733964,55.91742461334286,-3.6750122081399716,2.4896550326748423,6.164667240814814
